AC,PC,District,Code
Ichchapuram,Srikakulam,Srikakulam,AP
Palasa,Srikakulam,Srikakulam,AP
Tekkali,Srikakulam,Srikakulam,AP
Pathapatnam,Srikakulam,Srikakulam,AP
Srikakulam,Srikakulam,Srikakulam,AP
Amadalavalasa,Srikakulam,Srikakulam,AP
Etcherla,Vizianagaram,Srikakulam,AP
Narasannapeta,Srikakulam,Srikakulam,AP
Rajam,Vizianagaram,Srikakulam,AP
Palakonda,Aruku,Srikakulam,AP
Kurupam,Aruku,Vizianagaram,AP
Parvathipuram,Aruku,Vizianagaram,AP
Salur,Aruku,Vizianagaram,AP
Bobbili,Vizianagaram,Vizianagaram,AP
Cheepurupalle,Vizianagaram,Vizianagaram,AP
Gajapathinagaram,Vizianagaram,Vizianagaram,AP
Nellimarla,Vizianagaram,Vizianagaram,AP
Vizianagaram,Vizianagaram,Vizianagaram,AP
Srungavarapukota,Visakhapatnam,Vizianagaram,AP
Bhimli,Visakhapatnam,Visakhapatnam,AP
Visakhapatnam East,Visakhapatnam,Visakhapatnam,AP
Visakhapatnam South,Visakhapatnam,Visakhapatnam,AP
Visakhapatnam North,Visakhapatnam,Visakhapatnam,AP
Visakhapatnam West,Visakhapatnam,Visakhapatnam,AP
Gajuwaka,Visakhapatnam,Visakhapatnam,AP
Chodavaram,Anakapalli,Visakhapatnam,AP
V.Madugula,Anakapalli,Visakhapatnam,AP
Araku Valley,Aruku,Visakhapatnam,AP
Paderu,Aruku,Visakhapatnam,AP
Anakapalli,Anakapalli,Visakhapatnam,AP
Pendurthi,Anakapalli,Visakhapatnam,AP
Elamanchili,Anakapalli,Visakhapatnam,AP
Payakaraopeta,Anakapalli,Visakhapatnam,AP
Narsipatnam,Anakapalli,Visakhapatnam,AP
Tuni,Kakinada,East Godavari,AP
Prathipadu,Kakinada,East Godavari,AP
Pithapuram,Kakinada,East Godavari,AP
Kakinada Rural,Kakinada,East Godavari,AP
Peddapuram,Kakinada,East Godavari,AP
