AC,PC,District,Code
Lumla,Arunachal West,Tawang,AR
Tawang,Arunachal West,Tawang,AR
Mukto,Arunachal West,Tawang,AR
Dirang,Arunachal West,West Kameng,AR
Kalaktang,Arunachal West,West Kameng,AR
Thrizino-Buragaon,Arunachal West,West Kameng,AR
Bomdila,Arunachal West,West Kameng,AR
Bameng,Arunachal West,East Kameng,AR
Chayang Tajo,Arunachal West,East Kameng,AR
Seppa East,Arunachal West,East Kameng,AR
Seppa West,Arunachal West,East Kameng,AR
Pakke Kessang,Arunachal West,East Kameng,AR
Itanagar,Arunachal West,Papum Pare,AR
Doimukh,Arunachal West,Papum Pare,AR
Sagalee,Arunachal West,Papum Pare,AR
Yachuli,Arunachal West,Lower Subansiri,AR
Ziro Hapoli,Arunachal West,Lower Subansiri,AR
Palin,Arunachal West,Kurung Kumey,AR
Nyapin,Arunachal West,Kurung Kumey,AR
Tali,Arunachal West,Kurung Kumey,AR
Koloriang,Arunachal West,Kurung Kumey,AR
Nacho,Arunachal West,Upper Subansiri,AR
Taliha,Arunachal West,Upper Subansiri,AR
Daporijo,Arunachal West,Upper Subansiri,AR
Raga,Arunachal West,Upper Subansiri,AR
Dumporijo,Arunachal West,Upper Subansiri,AR
Liromoba,Arunachal West,West Siang,AR
Likabali,Arunachal West,West Siang,AR
Basar,Arunachal West,West Siang,AR
Along West,Arunachal West,West Siang,AR
Along East,Arunachal West,West Siang,AR
Rumgong,Arunachal West,West Siang,AR
Mechukha,Arunachal West,West Siang,AR
Tuting Yingkiong,Arunachal East,Upper Siang,AR
Pangin,Arunachal East,East Siang,AR
Nari-Koyu,Arunachal East,East Siang,AR
Pasighat West,Arunachal East,East Siang,AR
Pasighat East,Arunachal East,East Siang,AR
Mebo,Arunachal East,East Siang,AR
Mariyang-Geku,Arunachal East,Upper Siang,AR
Anini,Arunachal East,Dibang Valley,AR
Dambuk,Arunachal East,Lower Dibang Valley,AR
Roing,Arunachal East,Lower Dibang Valley,AR
Tezu,Arunachal East,Lohit,AR
Hayuliang,Arunachal East,Anjaw,AR
Chowkham,Arunachal East,Lohit,AR
Namsai,Arunachal East,Lohit,AR
Lekang,Arunachal East,Lohit,AR
Bordumsa - Diyum,Arunachal East,Changlang,AR
Miao,Arunachal East,Changlang,AR
Nampong,Arunachal East,Changlang,AR
Changlang South,Arunachal East,Changlang,AR
Changlang North,Arunachal East,Changlang,AR
Namsang,Arunachal East,Tirap,AR
Khonsa East,Arunachal East,Tirap,AR
Khonsa West,Arunachal East,Tirap,AR
Borduria Bogapani,Arunachal East,Tirap,AR
Kanubari,Arunachal East,Tirap,AR
Longding Pumao,Arunachal East,Tirap,AR
Pongchao Wakka,Arunachal East,Tirap,AR
