AC,PC,District,Code
Ratabari ,Karimganj,Karimganj,AS
Patharkandi,Karimganj,Karimganj,AS
Karimganj North,Karimganj,Karimganj,AS
Karimganj South,Karimganj,Karimganj,AS
Badarpur,Karimganj,Karimganj,AS
Hailakandi,Karimganj,Hailakandi,AS
Katlichera,Karimganj,Hailakandi,AS
Algapur,Karimganj,Hailakandi,AS
Silchar,Silchar,Cachar,AS
Sonai,Silchar,Cachar,AS
Dholai ,Silchar,Cachar,AS
Udharbond,Silchar,Cachar,AS
Lakhipur,Silchar,Cachar,AS
Barkhola,Silchar,Cachar,AS
Katigora,Silchar,Cachar,AS
Haflong ,Autonomous District,Dima Hasao,AS
Bokajan ,Autonomous District,Karbi Anglong,AS
Howraghat ,Autonomous District,Karbi Anglong,AS
Diphu ,Autonomous District,Karbi Anglong,AS
Baithalangso ,Autonomous District,Karbi Anglong,AS
Mankachar,Dhubri,Dhubri,AS
Salmara South,Dhubri,Dhubri,AS
Dhubri,Dhubri,Dhubri,AS
Gauripur,Dhubri,Dhubri,AS
Golakganj,Dhubri,Dhubri,AS
Bilasipara West,Dhubri,Dhubri,AS
Bilasipara East,Dhubri,Dhubri,AS
Gossaigaon,Kokrajhar,Kokrajhar,AS
Kokrajhar West ,Kokrajhar,Kokrajhar,AS
Kokrajhar East ,Kokrajhar,Kokrajhar,AS
Sidli ,Kokrajhar,Kokrajhar,AS
Bongaigaon,Barpeta,Bongaigaon,AS
Bijni,Kokrajhar,Bongaigaon,AS
Abhayapuri North,Barpeta,Bongaigaon,AS
Abhayapuri South ,Barpeta,Bongaigaon,AS
Dudhnai ,Gauhati,Goalpara,AS
Goalpara East,Dhubri,Goalpara,AS
Goalpara West,Dhubri,Goalpara,AS
Jaleswar,Dhubri,Goalpara,AS
Sorbhog,Kokrajhar,Barpeta,AS
Bhabanipur,Kokrajhar,Barpeta,AS
Patacharkuchi,Barpeta,Barpeta,AS
Barpeta,Barpeta,Barpeta,AS
Jania,Barpeta,Barpeta,AS
Baghbar,Barpeta,Barpeta,AS
Sarukhetri,Barpeta,Barpeta,AS
Chenga,Barpeta,Barpeta,AS
Boko ,Gauhati,Kamrup,AS
Chaygaon,Gauhati,Kamrup,AS
Palasbari,Gauhati,Kamrup,AS
Jalukbari,Gauhati,Kamrup Metropolitan,AS
Dispur,Gauhati,Kamrup Metropolitan,AS
Gauhati East,Gauhati,Kamrup Metropolitan,AS
Gauhati West,Gauhati,Kamrup Metropolitan,AS
