AC,PC,District,Code
Bharatpur-Sonhat,Korba,Koriya,CG
Manendragarh,Korba,Koriya,CG
Baikunthpur,Korba,Koriya,CG
Premnagar,Sarguja,Surguja,CG
Bhatgaon,Sarguja,Surguja,CG
Pratappur,Sarguja,Surguja,CG
Ramanujganj,Sarguja,Surguja,CG
Samri,Sarguja,Surguja,CG
Lundra,Sarguja,Surguja,CG
Ambikapur,Sarguja,Surguja,CG
Sitapur,Sarguja,Surguja,CG
Jashpur,Raigarh,Jashpur,CG
Kunkuri,Raigarh,Jashpur,CG
Pathalgaon,Raigarh,Jashpur,CG
Lailunga,Raigarh,Raigarh,CG
Raigarh,Raigarh,Raigarh,CG
Sarangarh,Raigarh,Raigarh,CG
Kharsia,Raigarh,Raigarh,CG
Dharamjaigarh,Raigarh,Raigarh,CG
Rampur,Korba,Korba,CG
Korba,Korba,Korba,CG
Katghora,Korba,Korba,CG
Pali-Tanakhar,Korba,Korba,CG
Marwahi,Korba,Bilaspur,CG
Kota,Bilaspur,Bilaspur,CG
Lormi,Bilaspur,Bilaspur,CG
Mungeli,Bilaspur,Bilaspur,CG
Takhatpur,Bilaspur,Bilaspur,CG
Bilha,Bilaspur,Bilaspur,CG
Bilaspur,Bilaspur,Bilaspur,CG
Beltara,Bilaspur,Bilaspur,CG
Masturi,Bilaspur,Bilaspur,CG
Akaltara,Janjgir-Champa,Janjgir - Champa,CG
Janjgir-Champa,Janjgir-Champa,Janjgir - Champa,CG
Sakti,Janjgir-Champa,Janjgir - Champa,CG
Chandrapur,Janjgir-Champa,Janjgir - Champa,CG
Jaijaipur,Janjgir-Champa,Janjgir - Champa,CG
Pamgarh,Janjgir-Champa,Janjgir - Champa,CG
Saraipali,Mahasamund,Mahasamund,CG
Basna,Mahasamund,Mahasamund,CG
Khallari,Mahasamund,Mahasamund,CG
Mahasamund,Mahasamund,Mahasamund,CG
Bilaigarh,Janjgir-Champa,Raipur,CG
Kasdol,Janjgir-Champa,Raipur,CG
Baloda Bazar,Raipur,Raipur,CG
Bhatapara,Raipur,Raipur,CG
Dharsiwa,Raipur,Raipur,CG
Raipur Rural,Raipur,Raipur,CG
Raipur City West,Raipur,Raipur,CG
Raipur City North,Raipur,Raipur,CG
Raipur City South,Raipur,Raipur,CG
Arang,Raipur,Raipur,CG
Abhanpur,Raipur,Raipur,CG
Rajim,Mahasamund,Raipur,CG
Bindranawagarh,Mahasamund,Raipur,CG
Sihawa,Kanker,Dhamtari,CG
Kurud,Mahasamund,Dhamtari,CG
Dhamtari,Mahasamund,Dhamtari,CG
Sanjari Balod,Kanker,Durg,CG
Dondi Lohara,Kanker,Durg,CG
Gunderdehi,Kanker,Durg,CG
Patan,Durg,Durg,CG
Durg-Rural,Durg,Durg,CG
Durg City,Durg,Durg,CG
Bhilai Nagar,Durg,Durg,CG
Vaishali Nagar,Durg,Durg,CG
Ahiwara,Durg,Durg,CG
Saja,Durg,Durg,CG
Bemetara,Durg,Durg,CG
Nawagarh,Durg,Durg,CG
Pandariya,Rajnandgaon,Kabeerdham,CG
Kawardha,Rajnandgaon,Kabeerdham,CG
Khairagarh,Rajnandgaon,Rajnandgaon,CG
Dongargarh,Rajnandgaon,Rajnandgaon,CG
Rajnandgaon,Rajnandgaon,Rajnandgaon,CG
Dongargaon,Rajnandgaon,Rajnandgaon,CG
Khujji,Rajnandgaon,Rajnandgaon,CG
Mohla-Manpur,Rajnandgaon,Rajnandgaon,CG
Antagarh,Kanker,Uttar Bastar Kanker,CG
Bhanupratappur,Kanker,Uttar Bastar Kanker,CG
Kanker,Kanker,Uttar Bastar Kanker,CG
Keshkal,Kanker,Bastar,CG
Kondagaon,Bastar,Bastar,CG
Narayanpur,Bastar,Bastar,CG
Bastar,Bastar,Bastar,CG
Jagdalpur,Bastar,Bastar,CG
Chitrakot,Bastar,Bastar,CG
Dantewada,Bastar,Dakshin Bastar Dantewada,CG
Bijapur,Bastar,Dakshin Bastar Dantewada,CG
Konta,Bastar,Dakshin Bastar Dantewada,CG
