AC,PC,District,Code
Nerela,North West Delhi,North West,DL
Burari,North East Delhi,North,DL
Timarpur,North East Delhi,North,DL
Adarsh Nagar,Chandni Chowk,North,DL
Badli,North West Delhi,North West,DL
Rithala,North West Delhi,North West,DL
Bawana,North West Delhi,North West,DL
Mundka,North West Delhi,North West,DL
Kirari,North West Delhi,North West,DL
Sultanpur Majra,North West Delhi,North West,DL
Nangloi Jat,North West Delhi,West,DL
Mangol Puri,North West Delhi,West,DL
Rohini,North West Delhi,North West,DL
Shalimar Bagh,Chandni Chowk,North,DL
Shakur Basti,Chandni Chowk,North,DL
Tri Nagar,Chandni Chowk,North,DL
Wazirpur,Chandni Chowk,North,DL
Model Town,Chandni Chowk,North,DL
Sadar Bazar,Chandni Chowk,Central,DL
Chandni Chowk,Chandni Chowk,Central,DL
Matia Mahal,Chandni Chowk,Central,DL
Ballimaran,Chandni Chowk,Central,DL
Karol Bagh,New Delhi,Central,DL
Patel Nagar,New Delhi,Central,DL
Moti Nagar,New Delhi,Central,DL
Madipur,West Delhi,West,DL
Rajouri Garden,West Delhi,West,DL
Hari Nagar,West Delhi,West,DL
Tilak Nagar,West Delhi,West,DL
Janakpuri,West Delhi,West,DL
Vikaspuri,West Delhi,West,DL
Uttam Nagar,West Delhi,South-West,DL
Dwarka,West Delhi,South-West,DL
Matiala,West Delhi,South-West,DL
Najafgarh,West Delhi,South-West,DL
Bijwasan,South Delhi,South-West,DL
Palam,South Delhi,South-West,DL
Delhi Cantt,New Delhi,South-West,DL
Rajinder Nagar,New Delhi,South-West,DL
New Delhi,New Delhi,District New Delhi,DL
Jangpura,East Delhi,District New Delhi,DL
Kasturba Nagar,New Delhi,District New Delhi,DL
Malviya Nagar,New Delhi,District New Delhi,DL
R K Puram,New Delhi,District New Delhi,DL
Mehrauli,South Delhi,South,DL
Chhatarpur,South Delhi,South,DL
Deoli,South Delhi,South,DL
Ambedkar Nagar,South Delhi,South,DL
Sangam Vihar,South Delhi,South,DL
Greater Kailash,New Delhi,District New Delhi,DL
Kalkaji,South Delhi,South,DL
Tughlakabad,South Delhi,South,DL
Badarpur,South Delhi,South,DL
Okhla,East Delhi,District New Delhi,DL
Trilokpuri,East Delhi,East,DL
Kondli,East Delhi,East,DL
Patparganj,East Delhi,East,DL
Laxmi Nagar,East Delhi,East,DL
Vishwas Nagar,East Delhi,East,DL
Krishna Nagar,East Delhi,East,DL
Gandhi Nagar,East Delhi,East,DL
Shahdara,East Delhi,East,DL
Seema Puri,North East Delhi,North-East,DL
Rohtas Nagar,North East Delhi,North-East,DL
Seelampur,North East Delhi,North-East,DL
Ghonda,North East Delhi,North-East,DL
Babarpur,North East Delhi,North-East,DL
Gokalpur,North East Delhi,North-East,DL
Mustafabad,North East Delhi,North-East,DL
Karawal Nagar,North East Delhi,North-East,DL
