AC,PC,District,Code
Mandrem,North Goa,North Goa,GA
Pernem,North Goa,North Goa,GA
Bicholim,North Goa,North Goa,GA
Tivim,North Goa,North Goa,GA
Mapusa,North Goa,North Goa,GA
Siolim,North Goa,North Goa,GA
Saligao,North Goa,North Goa,GA
Calangute,North Goa,North Goa,GA
Porvorim,North Goa,North Goa,GA
Aldona,North Goa,North Goa,GA
Panaji,North Goa,North Goa,GA
Taleigao,North Goa,North Goa,GA
St. Cruz,North Goa,North Goa,GA
St. Andre,North Goa,North Goa,GA
Cumbarjua,North Goa,North Goa,GA
Maem,North Goa,North Goa,GA
Sanquelim,North Goa,North Goa,GA
Poriem,North Goa,North Goa,GA
Valpoi,North Goa,North Goa,GA
Priol,North Goa,North Goa,GA
Ponda,South Goa,North Goa,GA
Siroda,South Goa,North Goa,GA
Marcaim,South Goa,North Goa,GA
Mormugao,South Goa,South Goa,GA
Vasco-Da-Gama,South Goa,South Goa,GA
Dabolim,South Goa,South Goa,GA
Cortalim,South Goa,South Goa,GA
Nuvem,South Goa,South Goa,GA
Curtorim,South Goa,South Goa,GA
Fatorda,South Goa,South Goa,GA
Margao,South Goa,South Goa,GA
Benaulim,South Goa,South Goa,GA
Navelim,South Goa,South Goa,GA
Cuncolim,South Goa,South Goa,GA
Velim,South Goa,South Goa,GA
Quepem,South Goa,South Goa,GA
Curchorem,South Goa,South Goa,GA
Sanvordem,South Goa,South Goa,GA
Sanguem,South Goa,South Goa,GA
Canacona,South Goa,South Goa,GA
