AC,PC,District,Code
Abdasa,Kachchh,Kachchh,GJ
Mandvi,Kachchh,Kachchh,GJ
Bhuj,Kachchh,Kachchh,GJ
Anjar,Kachchh,Kachchh,GJ
Gandhidham,Kachchh,Kachchh,GJ
Rapar,Kachchh,Kachchh,GJ
Vav,Banaskantha,Banas Kantha,GJ
Tharad,Banaskantha,Banas Kantha,GJ
Dhanera,Banaskantha,Banas Kantha,GJ
Danta,Banaskantha,Banas Kantha,GJ
Vadgam,Patan,Banas Kantha,GJ
Palanpur,Banaskantha,Banas Kantha,GJ
Deesa,Banaskantha,Banas Kantha,GJ
Deodar,Banaskantha,Banas Kantha,GJ
Kankrej,Patan,Banas Kantha,GJ
Radhanpur,Patan,Patan,GJ
Chanasma,Patan,Patan,GJ
Patan,Patan,Patan,GJ
Sidhpur,Patan,Patan,GJ
Kheralu,Patan,Mahesana,GJ
Unjha,Mahesana,Mahesana,GJ
Visnagar,Mahesana,Mahesana,GJ
Becharaji,Mahesana,Mahesana,GJ
Kadi,Mahesana,Mahesana,GJ
Mahesana,Mahesana,Mahesana,GJ
Vijapur,Mahesana,Mahesana,GJ
Himatnagar,Sabarkantha,Sabar Kantha,GJ
Idar,Sabarkantha,Sabar Kantha,GJ
Khedbrahma,Sabarkantha,Sabar Kantha,GJ
Bhiloda,Sabarkantha,Sabar Kantha,GJ
Modasa,Sabarkantha,Sabar Kantha,GJ
Bayad,Sabarkantha,Sabar Kantha,GJ
Prantij,Sabarkantha,Sabar Kantha,GJ
Dehgam,Ahmedabad East,Gandhinagar,GJ
Gandhinagar South,Ahmedabad East,Gandhinagar,GJ
Gandhinagar North,Gandhinagar,Gandhinagar,GJ
Mansa,Mahesana,Gandhinagar,GJ
Kalol,Gandhinagar,Gandhinagar,GJ
Viramgam,Surendranagar,Ahmadabad,GJ
Sanand,Gandhinagar,Ahmadabad,GJ
Ghatlodia,Gandhinagar,Ahmadabad,GJ
Vejalpur,Gandhinagar,Ahmadabad,GJ
Vatva,Ahmedabad East,Ahmadabad,GJ
Ellisbridge,Ahmedabad West,Ahmadabad,GJ
Naranpura,Gandhinagar,Ahmadabad,GJ
Nikol,Ahmedabad East,Ahmadabad,GJ
Naroda,Ahmedabad East,Ahmadabad,GJ
Thakkarbapa Nagar,Ahmedabad East,Ahmadabad,GJ
Bapunagar,Ahmedabad East,Ahmadabad,GJ
Amraiwadi,Ahmedabad West,Ahmadabad,GJ
Dariapur,Ahmedabad West,Ahmadabad,GJ
Jamalpur - Khadia,Ahmedabad West,Ahmadabad,GJ
Maninagar,Ahmedabad West,Ahmadabad,GJ
Danilimda,Ahmedabad West,Ahmadabad,GJ
Sabarmati,Gandhinagar,Ahmadabad,GJ
Asarwa,Ahmedabad West,Ahmadabad,GJ
Daskroi,Kheda,Ahmadabad,GJ
Dholka,Kheda,Ahmadabad,GJ
Dhandhuka,Surendranagar,Ahmadabad,GJ
Dasada,Surendranagar,Surendranagar,GJ
Limbdi,Surendranagar,Surendranagar,GJ
Wadhwan,Surendranagar,Surendranagar,GJ
Chotila,Surendranagar,Surendranagar,GJ
Dhrangadhra,Surendranagar,Surendranagar,GJ
Morbi,Kachchh,Rajkot,GJ
Tankara,Rajkot,Rajkot,GJ
Wankaner,Rajkot,Rajkot,GJ
Rajkot East,Rajkot,Rajkot,GJ
Rajkot West,Rajkot,Rajkot,GJ
Rajkot South,Rajkot,Rajkot,GJ
Rajkot Rural,Rajkot,Rajkot,GJ
Jasdan,Rajkot,Rajkot,GJ
Gondal,Porbandar,Rajkot,GJ
Jetpur,Porbandar,Rajkot,GJ
Dhoraji,Porbandar,Rajkot,GJ
Kalavad,Jamnagar,Jamnagar,GJ
Jamnagr Rural,Jamnagar,Jamnagar,GJ
Jamnagar North,Jamnagar,Jamnagar,GJ
Jamnagar South,Jamnagar,Jamnagar,GJ
Jamjodhpur,Jamnagar,Jamnagar,GJ
Khambhalia,Jamnagar,Jamnagar,GJ
