AC,PC,District,Code
Kalka,Ambala,Panchkula,HR
Panchkula,Ambala,Panchkula,HR
Naraingarh,Ambala,Ambala,HR
Ambala Cantt.,Ambala,Ambala,HR
Ambala City,Ambala,Ambala,HR
Mulana ,Ambala,Ambala,HR
Sadhaura ,Ambala,Yamunanagar,HR
Jagadhri,Ambala,Yamunanagar,HR
Yamunanagar,Ambala,Yamunanagar,HR
Radaur,Kurukshetra,Yamunanagar,HR
Ladwa,Kurukshetra,Kurukshetra,HR
Shahbad ,Kurukshetra,Kurukshetra,HR
Thanesar,Kurukshetra,Kurukshetra,HR
Pehowa,Kurukshetra,Kurukshetra,HR
Guhla ,Kurukshetra,Kaithal,HR
Kalayat,Kurukshetra,Kaithal,HR
Kaithal,Kurukshetra,Kaithal,HR
Pundri,Kurukshetra,Kaithal,HR
Nilokheri ,Karnal,Karnal,HR
Indri,Karnal,Karnal,HR
Karnal,Karnal,Karnal,HR
Gharaunda,Karnal,Karnal,HR
Assandh,Karnal,Karnal,HR
Panipat Rural,Karnal,Panipat,HR
Panipat City,Karnal,Panipat,HR
Israna ,Karnal,Panipat,HR
Samalkha,Karnal,Panipat,HR
Ganaur,Sonipat,Sonipat,HR
Rai,Sonipat,Sonipat,HR
Kharkhauda ,Sonipat,Sonipat,HR
Sonipat,Sonipat,Sonipat,HR
Gohana,Sonipat,Sonipat,HR
Baroda,Sonipat,Sonipat,HR
Julana,Sonipat,Jind,HR
Safidon,Sonipat,Jind,HR
Jind,Sonipat,Jind,HR
Uchana Kalan,Hisar,Jind,HR
Narwana ,Sirsa,Jind,HR
Tohana,Sirsa,Fatehabad,HR
Fatehabad,Sirsa,Fatehabad,HR
Ratia ,Sirsa,Fatehabad,HR
Kalawali ,Sirsa,Sirsa,HR
Dabwali,Sirsa,Sirsa,HR
Rania,Sirsa,Sirsa,HR
Sirsa,Sirsa,Sirsa,HR
Ellenabad,Sirsa,Sirsa,HR
Adampur,Hisar,Hisar,HR
Uklana ,Hisar,Hisar,HR
Narnaund,Hisar,Hisar,HR
Hansi,Hisar,Hisar,HR
Barwala,Hisar,Hisar,HR
Hisar,Hisar,Hisar,HR
Nalwa,Hisar,Hisar,HR
Loharu,Bhiwani-Mahendragarh,Bhiwani,HR
Badhra,Bhiwani-Mahendragarh,Bhiwani,HR
Dadri,Bhiwani-Mahendragarh,Bhiwani,HR
Bhiwani,Bhiwani-Mahendragarh,Bhiwani,HR
Tosham,Bhiwani-Mahendragarh,Bhiwani,HR
Bawani Khera ,Hisar,Bhiwani,HR
Meham,Rohtak,Rohtak,HR
Garhi Sampla-Kiloi,Rohtak,Rohtak,HR
Rohtak,Rohtak,Rohtak,HR
Kalanaur ,Rohtak,Rohtak,HR
Bahadurgarh,Rohtak,Jhajjar,HR
Badli,Rohtak,Jhajjar,HR
Jhajjar ,Rohtak,Jhajjar,HR
Beri,Rohtak,Jhajjar,HR
Ateli,Bhiwani-Mahendragarh,Mahendragarh,HR
Mahendragarh,Bhiwani-Mahendragarh,Mahendragarh,HR
Narnaul,Bhiwani-Mahendragarh,Mahendragarh,HR
Nangal Chaudhry,Bhiwani-Mahendragarh,Mahendragarh,HR
Bawal ,Gurgaon,Rewari,HR
Kosli,Rohtak,Rewari,HR
Rewari,Gurgaon,Rewari,HR
Pataudi ,Gurgaon,Gurgaon,HR
Badshahpur,Gurgaon,Gurgaon,HR
Gurgaon,Gurgaon,Gurgaon,HR
Sohna,Gurgaon,Gurgaon,HR
Nuh,Gurgaon,Gurgaon,HR
Ferozepur Jhirka,Gurgaon,Gurgaon,HR
Punahana,Gurgaon,Gurgaon,HR
Hathin,Faridabad,Faridabad,HR
Hodal ,Faridabad,Faridabad,HR
Palwal,Faridabad,Faridabad,HR
Prithla,Faridabad,Faridabad,HR
Faridabad Nit,Faridabad,Faridabad,HR
Badkhal,Faridabad,Faridabad,HR
Ballabhgarh,Faridabad,Faridabad,HR
Faridabad,Faridabad,Faridabad,HR
Tigaon,Faridabad,Faridabad,HR
