AC,PC,District,Code
Churah,Kangra,Chamba,HP
Bharmour,Mandi,Chamba,HP
Chamba,Kangra,Chamba,HP
Dalhousie,Kangra,Chamba,HP
Bhattiyat,Kangra,Chamba,HP
Nurpur,Kangra,Kangra,HP
Indora,Kangra,Kangra,HP
Fatehpur,Kangra,Kangra,HP
Jawali,Kangra,Kangra,HP
Dehra,Hamirpur,Kangra,HP
Jaswan-Pragpur,Hamirpur,Kangra,HP
Jawalamukhi,Kangra,Kangra,HP
Jaisinghpur [hp],Kangra,Kangra,HP
Sullah,Kangra,Kangra,HP
Nagrota,Kangra,Kangra,HP
Kangra,Kangra,Kangra,HP
Shahpur,Kangra,Kangra,HP
Dharamshala,Kangra,Kangra,HP
Palampur,Kangra,Kangra,HP
Baijnath,Kangra,Kangra,HP
Lahual & Spiti,Mandi,Lahul & Spiti,HP
Manali,Mandi,Kullu,HP
Kullu,Mandi,Kullu,HP
Banjar,Mandi,Kullu,HP
Anni,Mandi,Kullu,HP
Karsog,Mandi,Mandi,HP
Sundernagar,Mandi,Mandi,HP
Nachan,Mandi,Mandi,HP
Seraj,Mandi,Mandi,HP
Darang,Mandi,Mandi,HP
Jogindernagar,Mandi,Mandi,HP
Dharampur,Hamirpur,Mandi,HP
Mandi,Mandi,Mandi,HP
Balh,Mandi,Mandi,HP
Sarkaghat,Mandi,Mandi,HP
Bhoranj,Hamirpur,Hamirpur,HP
Sujanpur,Hamirpur,Hamirpur,HP
Hamirpur,Hamirpur,Hamirpur,HP
Barsar,Hamirpur,Hamirpur,HP
Nadaun,Hamirpur,Hamirpur,HP
Chintpurni,Hamirpur,Una,HP
Gagret,Hamirpur,Una,HP
Haroli,Hamirpur,Una,HP
Una,Hamirpur,Una,HP
Kutlehar,Hamirpur,Una,HP
Jhanduta,Hamirpur,Bilaspur,HP
Ghumarwin,Hamirpur,Bilaspur,HP
Bilaspur,Hamirpur,Bilaspur,HP
Sri Naina Deviji,Hamirpur,Bilaspur,HP
Arki,Shimla,Solan,HP
Nalagarh,Shimla,Solan,HP
Doon,Shimla,Solan,HP
Solan,Shimla,Solan,HP
Kasauli,Shimla,Solan,HP
Pachhad,Shimla,Sirmaur,HP
Nahan,Shimla,Sirmaur,HP
Sri Renukaji,Shimla,Sirmaur,HP
Paonta Sahib,Shimla,Sirmaur,HP
Shillai,Shimla,Sirmaur,HP
Chopal,Shimla,Shimla,HP
Theog,Shimla,Shimla,HP
Kasumpti,Shimla,Shimla,HP
Shimla,Shimla,Shimla,HP
Shimla Rural,Shimla,Shimla,HP
Jubbal-Kotkhai,Shimla,Shimla,HP
Rampur,Mandi,Shimla,HP
Rohru,Shimla,Shimla,HP
Kinnaur,Mandi,Kinnaur,HP
