AC,PC,District,Code
Rajmahal,Rajmahal,Sahibganj,JH
Borio,Rajmahal,Sahibganj,JH
Barhait,Rajmahal,Sahibganj,JH
Littipara,Rajmahal,Pakaur,JH
Pakur,Rajmahal,Pakaur,JH
Maheshpur,Rajmahal,Pakaur,JH
Shikaripara,Dumka,Dumka,JH
Nala,Dumka,Jamtara,JH
Jamtara,Dumka,Jamtara,JH
Dumka,Dumka,Dumka,JH
Jama,Dumka,Dumka,JH
Jarmundi,Godda,Dumka,JH
Madhupur,Godda,Deoghar,JH
Sarath,Dumka,Deoghar,JH
Deoghar,Godda,Deoghar,JH
Poreyahat,Godda,Godda,JH
Godda,Godda,Godda,JH
Mahagama,Godda,Godda,JH
Kodarma,Kodarma,Koderma,JH
Barkatha,Kodarma,Hazaribagh,JH
Barhi,Hazaribagh,Hazaribagh,JH
Barkagaon,Hazaribagh,Hazaribagh,JH
Ramgarh,Hazaribagh,Hazaribagh,JH
Mandu,Hazaribagh,Hazaribagh,JH
Hazaribagh,Hazaribagh,Hazaribagh,JH
Simaria,Chatra,Chatra,JH
Chatra,Chatra,Chatra,JH
Dhanwar,Kodarma,Giridih,JH
Bagodar,Kodarma,Giridih,JH
Jamua,Kodarma,Giridih,JH
Gandey,Kodarma,Giridih,JH
Giridih,Giridih,Giridih,JH
Dumri,Giridih,Giridih,JH
Gomia,Giridih,Bokaro,JH
Bermo,Giridih,Bokaro,JH
Bokaro,Dhanbad,Bokaro,JH
Chandankyari,Dhanbad,Bokaro,JH
Sindri,Dhanbad,Dhanbad,JH
Nirsa,Dhanbad,Dhanbad,JH
Dhanbad,Dhanbad,Dhanbad,JH
Jharia,Dhanbad,Dhanbad,JH
Tundi,Giridih,Dhanbad,JH
Baghmara,Giridih,Dhanbad,JH
Baharagora,Jamshedpur,Purbi Singhbhum,JH
Ghatsila,Jamshedpur,Purbi Singhbhum,JH
Potka,Jamshedpur,Purbi Singhbhum,JH
Jugsalai,Jamshedpur,Purbi Singhbhum,JH
Jamshedpur East,Jamshedpur,Purbi Singhbhum,JH
Jamshedpur West,Jamshedpur,Purbi Singhbhum,JH
Ichagarh,Ranchi,Sarikela-Kharswana,JH
Saraikella,Singhbhum,Sarikela-Kharswana,JH
Chaibasa,Singhbhum,Pashchimi Singhbhum,JH
Majhganon,Singhbhum,Pashchimi Singhbhum,JH
Jaganathpur,Singhbhum,Pashchimi Singhbhum,JH
Manoharpur,Singhbhum,Pashchimi Singhbhum,JH
Chakradharpur,Singhbhum,Pashchimi Singhbhum,JH
Kharasawan,Khunti,Sarikela-Kharswana,JH
Tamar,Khunti,Ranchi,JH
Torpa,Khunti,Ranchi,JH
Khunti,Khunti,Ranchi,JH
Silli,Ranchi,Ranchi,JH
Khijri,Ranchi,Ranchi,JH
Ranchi,Ranchi,Ranchi,JH
Hatia,Ranchi,Ranchi,JH
Kanke,Ranchi,Ranchi,JH
Mandar,Lohardaga,Ranchi,JH
Sisai,Lohardaga,Gumla,JH
Gumla,Lohardaga,Gumla,JH
Bishunpur,Lohardaga,Gumla,JH
Simdega,Khunti,Simdega,JH
Kolebira,Khunti,Simdega,JH
Lohardaga,Lohardaga,Lohardaga,JH
Manika,Chatra,Latehar,JH
Latehar,Chatra,Latehar,JH
Panki,Chatra,Palamu,JH
Daltonganj,Palamau,Palamu,JH
Bishrampur,Palamau,Palamu,JH
Chattarpur,Palamau,Palamu,JH
Hussainabad,Palamau,Palamu,JH
Garhwa,Palamau,Garhwa,JH
Bhawanathpur,Palamau,Garhwa,JH
