AC,PC,District,Code
Nippani,Chikkodi,Belgaum,KA
Chikkodi-Sadalga,Chikkodi,Belgaum,KA
Athani,Chikkodi,Belgaum,KA
Kagwad,Chikkodi,Belgaum,KA
Kudachi,Chikkodi,Belgaum,KA
Raybag,Chikkodi,Belgaum,KA
Hukkeri,Chikkodi,Belgaum,KA
Arabhavi,Belgaum,Belgaum,KA
Gokak,Belgaum,Belgaum,KA
Yemkanmardi,Chikkodi,Belgaum,KA
Belgaum Uttar,Belgaum,Belgaum,KA
Belgaum Dakshin,Belgaum,Belgaum,KA
Belgaum Rural,Belgaum,Belgaum,KA
Khanapur,Uttara Kannada,Belgaum,KA
Kittur,Uttara Kannada,Belgaum,KA
Bailhongal,Belgaum,Belgaum,KA
Saundatti Yellamma,Belgaum,Belgaum,KA
Ramdurg,Belgaum,Belgaum,KA
Mudhol,Bagalkot,Bagalkot,KA
Terdal,Bagalkot,Bagalkot,KA
Jamkhandi,Bagalkot,Bagalkot,KA
Bilgi,Bagalkot,Bagalkot,KA
Badami,Bagalkot,Bagalkot,KA
Bagalkot,Bagalkot,Bagalkot,KA
Hungund,Bagalkot,Bagalkot,KA
Muddebihal,Bijapur,Bijapur,KA
Devar Hippargi,Bijapur,Bijapur,KA
Basavana Bagewadi,Bijapur,Bijapur,KA
Babaleshwar,Bijapur,Bijapur,KA
Bijapur City,Bijapur,Bijapur,KA
Nagthan,Bijapur,Bijapur,KA
Indi,Bijapur,Bijapur,KA
Sindgi,Bijapur,Bijapur,KA
Afzalpur,Gulbarga,Gulbarga,KA
Jevargi,Gulbarga,Gulbarga,KA
Shorapur,Raichur,Gulbarga,KA
Shahapur,Raichur,Gulbarga,KA
Yadgir,Raichur,Gulbarga,KA
Gurmitkal,Gulbarga,Gulbarga,KA
Chittapur,Gulbarga,Gulbarga,KA
Sedam,Gulbarga,Gulbarga,KA
Chincholi,Bidar,Gulbarga,KA
Gulbarga Rural,Gulbarga,Gulbarga,KA
Gulbarga Dakshin,Gulbarga,Gulbarga,KA
Gulbarga Uttar,Gulbarga,Gulbarga,KA
Aland,Bidar,Gulbarga,KA
Basavakalyan,Bidar,Bidar,KA
Homnabad,Bidar,Bidar,KA
Bidar South,Bidar,Bidar,KA
Bidar,Bidar,Bidar,KA
Bhalki,Bidar,Bidar,KA
Aurad,Bidar,Bidar,KA
Raichur Rural,Raichur,Raichur,KA
Raichur,Raichur,Raichur,KA
Manvi,Raichur,Raichur,KA
Devadurga,Raichur,Raichur,KA
Lingsugur,Raichur,Raichur,KA
Sindhanur,Koppal,Raichur,KA
Maski,Koppal,Raichur,KA
Kushtagi,Koppal,Koppal,KA
Kanakagiri,Koppal,Koppal,KA
Gangawati,Koppal,Koppal,KA
Yelburga,Koppal,Koppal,KA
Koppal,Koppal,Koppal,KA
Shirahatti,Haveri,Gadag,KA
Gadag,Haveri,Gadag,KA
Ron,Haveri,Gadag,KA
Nargund,Bagalkot,Gadag,KA
Navalgund,Dharwad,Dharwad,KA
Kundgol,Dharwad,Dharwad,KA
Dharwad,Dharwad,Dharwad,KA
Hubli-Dharwad-East,Dharwad,Dharwad,KA
Hubli-Dharwad-Central,Dharwad,Dharwad,KA
Hubli-Dharwad-West,Dharwad,Dharwad,KA
Kalghatgi,Dharwad,Dharwad,KA
Haliyal,Uttara Kannada,Uttara Kannada,KA
Karwar,Uttara Kannada,Uttara Kannada,KA
Kumta,Uttara Kannada,Uttara Kannada,KA
Bhatkal,Uttara Kannada,Uttara Kannada,KA
Sirsi,Uttara Kannada,Uttara Kannada,KA
Yellapur,Uttara Kannada,Uttara Kannada,KA
Hangal,Haveri,Haveri,KA
Shiggaon,Dharwad,Haveri,KA
Haveri,Haveri,Haveri,KA
Byadgi,Haveri,Haveri,KA
Hirekerur,Haveri,Haveri,KA
