AC,PC,District,Code
Akkalkuwa,Nandurbar,Nandurbar,MH
Shahada,Nandurbar,Nandurbar,MH
Nandurbar,Nandurbar,Nandurbar,MH
Nawapur,Nandurbar,Nandurbar,MH
Sakri,Nandurbar,Dhule,MH
Dhule Rural,Dhule,Dhule,MH
Dhule City,Dhule,Dhule,MH
Sindkheda,Dhule,Dhule,MH
Shirpur,Nandurbar,Dhule,MH
Chopda,Raver,Jalgaon,MH
Raver,Raver,Jalgaon,MH
Bhusawal,Raver,Jalgaon,MH
Jalgaon City,Jalgaon,Jalgaon,MH
Jalgaon Rural,Jalgaon,Jalgaon,MH
Amalner,Jalgaon,Jalgaon,MH
Erandol,Jalgaon,Jalgaon,MH
Chalisgaon,Jalgaon,Jalgaon,MH
Pachora,Jalgaon,Jalgaon,MH
Jamner,Raver,Jalgaon,MH
Muktainagar,Raver,Jalgaon,MH
Malkapur,Raver,Buldana,MH
Buldhana,Buldhana,Buldana,MH
Chikhli,Buldhana,Buldana,MH
Sindkhed Raja,Buldhana,Buldana,MH
Mehkar,Buldhana,Buldana,MH
Khamgaon,Buldhana,Buldana,MH
Jalgaon (Jamod),Buldhana,Buldana,MH
Akot,Akola,Akola,MH
Balapur,Akola,Akola,MH
Akola West,Akola,Akola,MH
Akola East,Akola,Akola,MH
Murtizapur,Akola,Akola,MH
Risod,Akola,Washim,MH
Washim,Yavatmal-Washim,Washim,MH
Karanja,Yavatmal-Washim,Washim,MH
Dhamamgaon Railway,Wardha,Amravati,MH
Badnera,Amravati,Amravati,MH
Amravati,Amravati,Amravati,MH
Teosa,Amravati,Amravati,MH
Daryapur,Amravati,Amravati,MH
Melghat,Amravati,Amravati,MH
Achalpur,Amravati,Amravati,MH
Morshi,Wardha,Amravati,MH
Arvi,Wardha,Wardha,MH
Deoli,Wardha,Wardha,MH
Hinganghat,Wardha,Wardha,MH
Wardha,Wardha,Wardha,MH
Katol,Ramtek,Nagpur,MH
Savner,Ramtek,Nagpur,MH
Hingna,Ramtek,Nagpur,MH
Umred,Ramtek,Nagpur,MH
Nagpur South West,Nagpur,Nagpur,MH
Nagpur South,Nagpur,Nagpur,MH
Nagpur East,Nagpur,Nagpur,MH
Nagpur Central,Nagpur,Nagpur,MH
Nagpur West,Nagpur,Nagpur,MH
Nagpur North,Nagpur,Nagpur,MH
Kamthi,Ramtek,Nagpur,MH
Ramtek,Ramtek,Nagpur,MH
Tumsar,Bhandara - Gondiya,Bhandara,MH
Bhandara,Bhandara - Gondiya,Bhandara,MH
Sakoli,Bhandara - Gondiya,Bhandara,MH
Arjuni-Morgaon,Bhandara - Gondiya,Gondiya,MH
Tirora,Bhandara - Gondiya,Gondiya,MH
Gondiya,Bhandara - Gondiya,Gondiya,MH
Amgaon,Gadchiroli-Chimur,Gondiya,MH
Armori,Gadchiroli-Chimur,Gadchiroli,MH
Gadchiroli,Gadchiroli-Chimur,Gadchiroli,MH
Aheri,Gadchiroli-Chimur,Gadchiroli,MH
Rajura,Chandrapur,Chandrapur,MH
Chandrapur,Chandrapur,Chandrapur,MH
Ballarpur,Chandrapur,Chandrapur,MH
Brahmapuri,Gadchiroli-Chimur,Chandrapur,MH
Chimur,Gadchiroli-Chimur,Chandrapur,MH
Warora,Chandrapur,Chandrapur,MH
Wani,Chandrapur,Yavatmal,MH
Ralegaon,Yavatmal-Washim,Yavatmal,MH
Yavatmal,Yavatmal-Washim,Yavatmal,MH
Digras,Yavatmal-Washim,Yavatmal,MH
Arni,Chandrapur,Yavatmal,MH
Pusad,Yavatmal-Washim,Yavatmal,MH
Umarkhed,Hingoli,Yavatmal,MH
Kinwat,Hingoli,Nanded,MH
Hadgaon,Hingoli,Nanded,MH
Bhokar,Nanded,Nanded,MH
Nanded North,Nanded,Nanded,MH
Nanded South,Nanded,Nanded,MH
Loha,Latur,Nanded,MH
Naigaon,Nanded,Nanded,MH
Deglur,Nanded,Nanded,MH
Mukhed,Nanded,Nanded,MH
Basmath,Hingoli,Hingoli,MH
Kalamnuri,Hingoli,Hingoli,MH
Hingoli,Hingoli,Hingoli,MH
Jintur,Parbhani,Parbhani,MH
Parbhani,Parbhani,Parbhani,MH
Gangakhed,Parbhani,Parbhani,MH
Pathri,Parbhani,Parbhani,MH
Partur,Parbhani,Jalna,MH
Ghansawangi,Parbhani,Jalna,MH
Jalna,Jalna,Jalna,MH
Badnapur,Jalna,Jalna,MH
Bhokardan,Jalna,Jalna,MH
Sillod,Jalna,Aurangabad,MH
Kannad,Aurangabad,Aurangabad,MH
Phulambri,Jalna,Aurangabad,MH
Aurangabad Central,Aurangabad,Aurangabad,MH
Aurangabad West,Aurangabad,Aurangabad,MH
Aurangabad East,Aurangabad,Aurangabad,MH
Paithan,Jalna,Aurangabad,MH
Gangapur,Aurangabad,Aurangabad,MH
Vaijapur,Aurangabad,Aurangabad,MH
Nandgaon,Dindori,Nashik,MH
Malegaon Central,Dhule,Nashik,MH
Malegaon Outer,Dhule,Nashik,MH
Baglan,Dhule,Nashik,MH
Kalwan,Dindori,Nashik,MH
Chandvad,Dindori,Nashik,MH
Yevla,Dindori,Nashik,MH
Sinnar,Nashik,Nashik,MH
Niphad,Dindori,Nashik,MH
Dindori,Dindori,Nashik,MH
Nashik East,Nashik,Nashik,MH
Nashik Central,Nashik,Nashik,MH
Nashik West,Nashik,Nashik,MH
Devlali,Nashik,Nashik,MH
Igatpuri,Nashik,Nashik,MH
Dahanu,Palghar,Thane,MH
Vikramgad,Palghar,Thane,MH
Palghar,Palghar,Thane,MH
Boisar,Palghar,Thane,MH
Nalasopara,Palghar,Thane,MH
Vasai,Palghar,Thane,MH
Bhiwandi Rural,Bhiwandi,Thane,MH
Shahapur,Bhiwandi,Thane,MH
