AC,PC,District,Code
Khundrakpam,Inner Manipur,Imphal,MN
Heingang,Inner Manipur,Imphal,MN
Khurai,Inner Manipur,Imphal,MN
Kshetrigao,Inner Manipur,Imphal,MN
Thongju,Inner Manipur,Imphal,MN
Keirao,Inner Manipur,Imphal,MN
Andro,Inner Manipur,Imphal,MN
Lamlai,Inner Manipur,Imphal,MN
Thangmeiband,Inner Manipur,Imphal West,MN
Uripok,Inner Manipur,Imphal West,MN
Sagolband,Inner Manipur,Imphal West,MN
Keishamthong,Inner Manipur,Imphal West,MN
Singjamei,Inner Manipur,Imphal West,MN
Yaiskul,Inner Manipur,Imphal,MN
Wangkhei,Inner Manipur,Imphal,MN
Sekmai,Inner Manipur,Imphal West,MN
Lamsang,Inner Manipur,Imphal West,MN
Konthoujam,Inner Manipur,Imphal West,MN
Patsoi,Inner Manipur,Imphal West,MN
Langthabal,Inner Manipur,Imphal West,MN
Naoriya Pakhanglakpa,Inner Manipur,Imphal West,MN
Wangoi,Inner Manipur,Imphal West,MN
Mayang Imphal,Inner Manipur,Imphal West,MN
Nambol,Inner Manipur,Bishnupur,MN
Oinam,Inner Manipur,Bishnupur,MN
Bishnupur,Inner Manipur,Bishnupur,MN
Moirang,Inner Manipur,Bishnupur,MN
Thanga,Inner Manipur,Bishnupur,MN
Kumbi,Inner Manipur,Bishnupur,MN
Lilong,Inner Manipur,Thoubal,MN
Thoubal,Inner Manipur,Thoubal,MN
Wangkhem,Inner Manipur,Thoubal,MN
Heirok,Outer Manipur,Thoubal,MN
Wangjing Tentha,Outer Manipur,Thoubal,MN
Khangabok,Outer Manipur,Thoubal,MN
Wabgai,Outer Manipur,Thoubal,MN
Kakching,Outer Manipur,Thoubal,MN
Hiyanglam,Outer Manipur,Thoubal,MN
Sugnu,Outer Manipur,Thoubal,MN
Jiribam,Outer Manipur,Imphal,MN
Chandel,Outer Manipur,Chandel,MN
Tengnoupal,Outer Manipur,Chandel,MN
Phungyar,Outer Manipur,Ukhrul,MN
Ukhrul,Outer Manipur,Ukhrul,MN
Chingai,Outer Manipur,Ukhrul,MN
Saikul,Outer Manipur,Senapati,MN
Karong,Outer Manipur,Senapati,MN
Mao,Outer Manipur,Senapati,MN
Tadubi,Outer Manipur,Senapati,MN
Kangpokpi,Outer Manipur,Senapati,MN
Saitu,Outer Manipur,Senapati,MN
Tamei,Outer Manipur,Tamenglong,MN
Tamenglong,Outer Manipur,Tamenglong,MN
Nungba,Outer Manipur,Tamenglong,MN
Tipaimukh,Outer Manipur,Churuchandpur,MN
Thanlon,Outer Manipur,Churuchandpur,MN
Henglep,Outer Manipur,Churuchandpur,MN
Churachandpur,Outer Manipur,Churuchandpur,MN
Saikot,Outer Manipur,Churuchandpur,MN
Singhat,Outer Manipur,Churuchandpur,MN
