AC,PC,District,Code
Nartiang,Shillong,Jaintia Hills,ML
Jowai,Shillong,Jaintia Hills,ML
Raliang,Shillong,Jaintia Hills,ML
Mowkaiaw,Shillong,Jaintia Hills,ML
Sutnga Saipung,Shillong,Jaintia Hills,ML
Khliehriat,Shillong,Jaintia Hills,ML
Amlarem,Shillong,Jaintia Hills,ML
Mawhati,Shillong,Ri Bhoi,ML
Nongpoh,Shillong,Ri Bhoi,ML
Jirang,Shillong,Ri Bhoi,ML
Umsning,Shillong,Ri Bhoi,ML
Umroi,Shillong,Ri Bhoi,ML
Mawryngkneng,Shillong,East Khasi Hills,ML
Pynthorumkhrah,Shillong,East Khasi Hills,ML
Mawlai,Shillong,East Khasi Hills,ML
East Shillong,Shillong,East Khasi Hills,ML
North Shillong,Shillong,East Khasi Hills,ML
West Shillong,Shillong,East Khasi Hills,ML
South Shillong,Shillong,East Khasi Hills,ML
Mylliem,Shillong,East Khasi Hills,ML
Nongthymmai,Shillong,East Khasi Hills,ML
Nongkrem,Shillong,East Khasi Hills,ML
Sohiong,Shillong,East Khasi Hills,ML
Mawphlang,Shillong,East Khasi Hills,ML
Mawsynram,Shillong,East Khasi Hills,ML
Shella,Shillong,East Khasi Hills,ML
Pynursla,Shillong,East Khasi Hills,ML
Sohra,Shillong,East Khasi Hills,ML
Mawkynrew,Shillong,East Khasi Hills,ML
Mairang,Shillong,West Khasi Hills,ML
Mawthadraishan,Shillong,West Khasi Hills,ML
Nongstoin,Shillong,West Khasi Hills,ML
Rambrai Jyrngam,Shillong,West Khasi Hills,ML
Mawshynrut,Shillong,West Khasi Hills,ML
Ranikor,Shillong,West Khasi Hills,ML
Mawkyrwat,Shillong,West Khasi Hills,ML
Kharkutta,Tura,East Garo Hills,ML
Mendipathar,Tura,East Garo Hills,ML
Resubelpara,Tura,East Garo Hills,ML
Bajengdoba,Tura,East Garo Hills,ML
Songsak,Tura,East Garo Hills,ML
Rongjeng,Tura,East Garo Hills,ML
Williamnagar,Tura,East Garo Hills,ML
Raksamgre,Tura,West Garo Hills,ML
Tikrikilla,Tura,West Garo Hills,ML
Phulbari,Tura,West Garo Hills,ML
Rajabala,Tura,West Garo Hills,ML
Selsella,Tura,West Garo Hills,ML
Dadenggre,Tura,West Garo Hills,ML
North Tura,Tura,West Garo Hills,ML
South Tura,Tura,West Garo Hills,ML
Rangsakona,Tura,West Garo Hills,ML
Ampati,Tura,West Garo Hills,ML
Mahendraganj,Tura,West Garo Hills,ML
Salmanpara,Tura,West Garo Hills,ML
Gambegre,Tura,West Garo Hills,ML
Dalu,Tura,West Garo Hills,ML
Rongara Siju,Tura,South Garo Hills,ML
Chokpot,Tura,South Garo Hills,ML
Baghmara,Tura,South Garo Hills,ML
