AC,PC,District,Code
Hachhek,Mizoram,Mamit,MZ
Dampa,Mizoram,Mamit,MZ
Mamit,Mizoram,Mamit,MZ
Tuirial,Mizoram,Kolasib,MZ
Kolasib,Mizoram,Kolasib,MZ
Serlui,Mizoram,Kolasib,MZ
Tuivawl,Mizoram,Aizawl,MZ
Chalfilh,Mizoram,Aizawl,MZ
Tawi,Mizoram,Aizawl,MZ
Aizawl North-I,Mizoram,Aizawl,MZ
Aizawl North-II,Mizoram,Aizawl,MZ
Aizawl North-III,Mizoram,Aizawl,MZ
Aizawl East-I,Mizoram,Aizawl,MZ
Aizawl East-II,Mizoram,Aizawl,MZ
Aizawl West-I,Mizoram,Aizawl,MZ
Aizawl West-II,Mizoram,Aizawl,MZ
Aizawl West-III,Mizoram,Aizawl,MZ
Aizawl South-I,Mizoram,Aizawl,MZ
Aizawl South-II,Mizoram,Aizawl,MZ
Aizawl South-III,Mizoram,Aizawl,MZ
Lengteng,Mizoram,Champhai,MZ
Tuichang,Mizoram,Champhai,MZ
Champhai North,Mizoram,Champhai,MZ
Champhai South,Mizoram,Champhai,MZ
East Tuipui,Mizoram,Champhai,MZ
Serchhip,Mizoram,Serchhip,MZ
Tuikum,Mizoram,Serchhip,MZ
Hrangturzo,Mizoram,Serchhip,MZ
South Tuipui,Mizoram,Lunglei,MZ
Lunglei North,Mizoram,Lunglei,MZ
Lunglei East,Mizoram,Lunglei,MZ
Lunglei West,Mizoram,Lunglei,MZ
Lunglei South,Mizoram,Lunglei,MZ
Thorang,Mizoram,Lunglei,MZ
West Tuipui,Mizoram,Lunglei,MZ
Tuichawng,Mizoram,Lawngtlai,MZ
Lawngtlai West,Mizoram,Lawngtlai,MZ
Lawngtlai East,Mizoram,Lawngtlai,MZ
Saiha,Mizoram,Saiha,MZ
Palak,Mizoram,Saiha,MZ
