AC,PC,District,Code
Dimapur-I,Nagaland,Dimapur,NL
Dimapur-II,Nagaland,Dimapur,NL
Dimapur-III,Nagaland,Dimapur,NL
Ghaspani-I,Nagaland,Dimapur,NL
Ghaspani-II,Nagaland,Dimapur,NL
Tenning,Nagaland,Peren,NL
Peren,Nagaland,Peren,NL
Western Angami,Nagaland,Kohima,NL
Kohima Town,Nagaland,Kohima,NL
Northern Angami-I,Nagaland,Kohima,NL
Northern Angami-II,Nagaland,Kohima,NL
Tseminyu,Nagaland,Kohima,NL
Pughoboto,Nagaland,Kohima,NL
Southern Angami-I,Nagaland,Kohima,NL
Southern Angami-II,Nagaland,Kohima,NL
Pfutsero,Nagaland,Phek,NL
Chizami,Nagaland,Phek,NL
Chazouba,Nagaland,Phek,NL
Phek,Nagaland,Phek,NL
Meluri,Nagaland,Phek,NL
Tuli,Nagaland,Mokokchung,NL
Arkakong,Nagaland,Mokokchung,NL
Impur,Nagaland,Mokokchung,NL
Angetyongpang,Nagaland,Mokokchung,NL
Mongoya,Nagaland,Mokokchung,NL
Aonglenden,Nagaland,Mokokchung,NL
Mokokchung Town,Nagaland,Mokokchung,NL
Koridang,Nagaland,Mokokchung,NL
Jangpetkong,Nagaland,Mokokchung,NL
Alongtaki,Nagaland,Mokokchung,NL
Akuluto,Nagaland,Zunheboto,NL
Atoizu,Nagaland,Zunheboto,NL
Suruhuto,Nagaland,Zunheboto,NL
Aghunato,Nagaland,Zunheboto,NL
Zunheboto,Nagaland,Zunheboto,NL
Satakha,Nagaland,Zunheboto,NL
Tyui,Nagaland,Wokha,NL
Wokha Town,Nagaland,Wokha,NL
Sanis,Nagaland,Wokha,NL
Bhandari,Nagaland,Wokha,NL
Tizit,Nagaland,Mon,NL
Wakching,Nagaland,Mon,NL
Tapi,Nagaland,Mon,NL
Phomching,Nagaland,Mon,NL
Tehok,Nagaland,Mon,NL
Mon Town,Nagaland,Mon,NL
Aboi,Nagaland,Mon,NL
Moka,Nagaland,Mon,NL
Tamlu,Nagaland,Longleng,NL
Longleng,Nagaland,Longleng,NL
Noksen,Nagaland,Tuensang,NL
Longkhim Chare,Nagaland,Tuensang,NL
Tuensang Sadar-I,Nagaland,Tuensang,NL
Tuensang Sadar-Ii,Nagaland,Tuensang,NL
Tobu,Nagaland,Mon,NL
Noklak,Nagaland,Tuensang,NL
Thonoknyu,Nagaland,Tuensang,NL
Shamator Chessore,Nagaland,Tuensang,NL
Seyochung Sitimi,Nagaland,Kiphire,NL
Pungro Kiphire,Nagaland,Kiphire,NL
