AC,PC,District,Code
Padampur,Bargarh,Bargarh,OR
Bijepur,Bargarh,Bargarh,OR
Bargarh,Bargarh,Bargarh,OR
Attabira,Bargarh,Bargarh,OR
Bhatli,Bargarh,Bargarh,OR
Brajarajnagar,Bargarh,Jharsuguda,OR
Jharsuguda,Bargarh,Jharsuguda,OR
Talsara,Sundargarh,Sundargarh,OR
Sundargarh,Sundargarh,Sundargarh,OR
Biramitrapur,Sundargarh,Sundargarh,OR
Raghunathpali,Sundargarh,Sundargarh,OR
Rourkela,Sundargarh,Sundargarh,OR
Rajgangapur,Sundargarh,Sundargarh,OR
Bonai,Sundargarh,Sundargarh,OR
Kuchinda,Sambalpur,Sambalpur,OR
Rengali,Sambalpur,Sambalpur,OR
Sambalpur,Sambalpur,Sambalpur,OR
Rairakhol,Sambalpur,Sambalpur,OR
Deogarh,Sambalpur,Debagarh,OR
Telkoi,Keonjhar,Kendujhar,OR
Ghasipura,Keonjhar,Kendujhar,OR
Anandapur,Keonjhar,Kendujhar,OR
Patna,Keonjhar,Kendujhar,OR
Keonjhar,Keonjhar,Kendujhar,OR
Champua,Keonjhar,Kendujhar,OR
Jashipur,Mayurbhanj,Mayurbhanj,OR
Saraskana,Mayurbhanj,Mayurbhanj,OR
Rairangpur,Mayurbhanj,Mayurbhanj,OR
Bangriposi,Mayurbhanj,Mayurbhanj,OR
Karanjia,Keonjhar,Mayurbhanj,OR
Udala,Mayurbhanj,Mayurbhanj,OR
Badasahi,Balasore,Mayurbhanj,OR
Baripada,Mayurbhanj,Mayurbhanj,OR
Morada,Mayurbhanj,Mayurbhanj,OR
Jaleswar,Balasore,Baleshwar,OR
Bhograi,Balasore,Baleshwar,OR
Basta,Balasore,Baleshwar,OR
Balasore,Balasore,Baleshwar,OR
Remuna,Balasore,Baleshwar,OR
Nilgiri,Balasore,Baleshwar,OR
Soro,Bhadrak,Baleshwar,OR
Simulia,Bhadrak,Baleshwar,OR
Bhandaripokhari,Bhadrak,Bhadrak,OR
Bhadrak,Bhadrak,Bhadrak,OR
Basudevpur,Bhadrak,Bhadrak,OR
Dhamnagar,Bhadrak,Bhadrak,OR
Chandabali,Bhadrak,Bhadrak,OR
Binjharpur,Jajpur,Jajapur,OR
Bari,Jajpur,Jajapur,OR
Barchana,Jajpur,Jajapur,OR
Dharmasala,Jajpur,Jajapur,OR
Jajpur,Jajpur,Jajapur,OR
Korei,Jajpur,Jajapur,OR
Sukinda,Jajpur,Jajapur,OR
Dhenkanal,Dhenkanal,Dhenkanal,OR
Hindol,Dhenkanal,Dhenkanal,OR
Kamakhyanagar,Dhenkanal,Dhenkanal,OR
Parjanga,Dhenkanal,Dhenkanal,OR
Pallahara,Dhenkanal,Anugul,OR
Talcher,Dhenkanal,Anugul,OR
Angul,Dhenkanal,Anugul,OR
Chhendipada,Sambalpur,Anugul,OR
Athamallik,Sambalpur,Anugul,OR
Birmaharajpur,Bolangir,Sonapur,OR
Sonepur,Bolangir,Sonapur,OR
Loisingha,Bolangir,Balangir,OR
Patnagarh,Bolangir,Balangir,OR
Bolangir,Bolangir,Balangir,OR
Titlagarh,Bolangir,Balangir,OR
Kantabanji,Bolangir,Balangir,OR
Nuapada,Kalahandi,Nuapada,OR
Khariar,Kalahandi,Nuapada,OR
Umarkote,Nabarangpur,Nabarangapur,OR
Jharigam,Nabarangpur,Nabarangapur,OR
Nabarangpur,Nabarangpur,Nabarangapur,OR
