AC,PC,District,Code
Mannadipet,Pondicherry,Puducherry,PY
Thirubuvanai,Pondicherry,Puducherry,PY
Oussudu,Pondicherry,Puducherry,PY
Mangalam,Pondicherry,Puducherry,PY
Villianur,Pondicherry,Puducherry,PY
Ozhukarai,Pondicherry,Puducherry,PY
Kadirgamam,Pondicherry,Puducherry,PY
Indira Nagar,Pondicherry,Puducherry,PY
Thattanchavady,Pondicherry,Puducherry,PY
Kamaraj Nagar,Pondicherry,Puducherry,PY
Lawspet,Pondicherry,Puducherry,PY
Kalapet,Pondicherry,Puducherry,PY
Muthialpet,Pondicherry,Puducherry,PY
Raj Bhavan,Pondicherry,Puducherry,PY
Oupalam,Pondicherry,Puducherry,PY
Orleanpeth,Pondicherry,Puducherry,PY
Nellithope,Pondicherry,Puducherry,PY
Mudaliarpet,Pondicherry,Puducherry,PY
Ariankuppam,Pondicherry,Puducherry,PY
Manavely,Pondicherry,Puducherry,PY
Embalam,Pondicherry,Puducherry,PY
Nettapakkam,Pondicherry,Puducherry,PY
Bahour,Pondicherry,Puducherry,PY
Nedungadu,Pondicherry,Karaikal,PY
Thirunallar,Pondicherry,Karaikal,PY
Karaikal North,Pondicherry,Karaikal,PY
Karaikal South,Pondicherry,Karaikal,PY
Neravy T.Rpattinam,Pondicherry,Karaikal,PY
Mahe,Pondicherry,Mahe,PY
Yanam,Pondicherry,Yanam,PY
