AC,PC,District,Code
Sujanpur,Gurdaspur,Gurdaspur,PB
Bhoa,Gurdaspur,Gurdaspur,PB
Pathankot,Gurdaspur,Gurdaspur,PB
Gurdaspur,Gurdaspur,Gurdaspur,PB
Dina Nagar,Gurdaspur,Gurdaspur,PB
Qadian,Gurdaspur,Gurdaspur,PB
Batala,Gurdaspur,Gurdaspur,PB
Sri Hargobindpur,Hoshiarpur,Gurdaspur,PB
Fatehgarh Churian,Gurdaspur,Gurdaspur,PB
Dera Baba Nanak,Gurdaspur,Gurdaspur,PB
Ajnala,Amritsar,Amritsar,PB
Raja Sansi,Amritsar,Amritsar,PB
Majitha,Amritsar,Amritsar,PB
Jandiala,Khadoor Sahib,Amritsar,PB
Amritsar North,Amritsar,Amritsar,PB
Amritsar West,Amritsar,Amritsar,PB
Amritsar Central,Amritsar,Amritsar,PB
Amritsar East,Amritsar,Amritsar,PB
Amritsar South,Amritsar,Amritsar,PB
Attari,Amritsar,Amritsar,PB
Tarn Taran,Khadoor Sahib,Amritsar,PB
Khem Karan,Khadoor Sahib,Amritsar,PB
Patti,Khadoor Sahib,Amritsar,PB
Khadoor Sahib,Khadoor Sahib,Amritsar,PB
Baba Bakala,Khadoor Sahib,Amritsar,PB
Bholath,Hoshiarpur,Kapurthala,PB
Kapurthala,Khadoor Sahib,Kapurthala,PB
Sultanpur Lodhi,Khadoor Sahib,Kapurthala,PB
Phagwara,Hoshiarpur,Kapurthala,PB
Phillaur,Jalandhar,Jalandhar,PB
Nakodar,Jalandhar,Jalandhar,PB
Shahkot,Jalandhar,Jalandhar,PB
Kartarpur,Jalandhar,Jalandhar,PB
Jalandhar West,Jalandhar,Jalandhar,PB
Jalandhar Central,Jalandhar,Jalandhar,PB
Jalandhar North,Jalandhar,Jalandhar,PB
Jalandhar Cantt.,Jalandhar,Jalandhar,PB
Adampur,Jalandhar,Jalandhar,PB
Mukerian,Hoshiarpur,Hoshiarpur,PB
Dasuya,Hoshiarpur,Hoshiarpur,PB
Urmar,Hoshiarpur,Hoshiarpur,PB
Sham Chaurasi,Hoshiarpur,Hoshiarpur,PB
Hoshiarpur,Hoshiarpur,Hoshiarpur,PB
Chabbewal,Hoshiarpur,Hoshiarpur,PB
Garhshankar,Anandpur Sahib,Hoshiarpur,PB
Banga,Anandpur Sahib,Shahid Bhagat Singh Nagar,PB
Nawanshahr,Anandpur Sahib,Shahid Bhagat Singh Nagar,PB
Balachaur,Anandpur Sahib,Shahid Bhagat Singh Nagar,PB
Anandpur Sahib,Anandpur Sahib,Rupnagar,PB
Rupnagar,Anandpur Sahib,Rupnagar,PB
Chamkaur Sahib,Anandpur Sahib,Rupnagar,PB
Kharar,Anandpur Sahib,Rupnagar,PB
S.A.S.Nagar,Anandpur Sahib,Rupnagar,PB
Bassi Pathana,Fatehgarh Sahib,Fatehgarh Sahib,PB
Fatehgarh Sahib,Fatehgarh Sahib,Fatehgarh Sahib,PB
Amloh,Fatehgarh Sahib,Fatehgarh Sahib,PB
Khanna,Fatehgarh Sahib,Ludhiana,PB
Samrala,Fatehgarh Sahib,Ludhiana,PB
Sahnewal,Fatehgarh Sahib,Ludhiana,PB
Ludhiana East,Ludhiana,Ludhiana,PB
Ludhiana South,Ludhiana,Ludhiana,PB
Atam Nagar,Ludhiana,Ludhiana,PB
Ludhiana Central,Ludhiana,Ludhiana,PB
Ludhiana West,Ludhiana,Ludhiana,PB
Ludhiana North,Ludhiana,Ludhiana,PB
Gill,Ludhiana,Ludhiana,PB
Payal,Fatehgarh Sahib,Ludhiana,PB
Dakha,Ludhiana,Ludhiana,PB
Raikot,Fatehgarh Sahib,Ludhiana,PB
Jagraon,Ludhiana,Ludhiana,PB
Nihal Singhwala,Faridkot,Moga,PB
Bhagha Purana,Faridkot,Moga,PB
Moga,Faridkot,Moga,PB
Dharamkot,Faridkot,Moga,PB
Zira,Khadoor Sahib,Firozpur,PB
Firozpur City,Ferozpur,Firozpur,PB
Firozpur Rural,Ferozpur,Firozpur,PB
Guru Har Sahai,Ferozpur,Firozpur,PB
Jalalabad,Ferozpur,Firozpur,PB
Fazilka,Ferozpur,Firozpur,PB
Abohar,Ferozpur,Firozpur,PB
