AC,PC,District,Code
Yoksam-Tashiding,Sikkim,West,SK
Yangthang,Sikkim,West,SK
Maneybung-Dentam,Sikkim,West,SK
Gyalshing-Barnyak,Sikkim,West,SK
Rinchenpong,Sikkim,West,SK
Daramdin,Sikkim,West,SK
Soreong-Chakung,Sikkim,West,SK
Salghari-Zoom,Sikkim,West,SK
Barfung,Sikkim,South,SK
Poklok-Kamrang,Sikkim,South,SK
Namchi-Singhithang,Sikkim,South,SK
Melli,Sikkim,South,SK
Namthang-Rateypani,Sikkim,South,SK
Temi-Namphing,Sikkim,South,SK
Rangang-Yangang,Sikkim,South,SK
Tumen-Lingi,Sikkim,South,SK
Khamdong-Singtam,Sikkim,East,SK
West Pendam,Sikkim,East,SK
Rhenock,Sikkim,East,SK
Chujachen,Sikkim,East,SK
Gnathang-Machong,Sikkim,East,SK
Namcheybung,Sikkim,East,SK
Shyari,Sikkim,East,SK
Martam-Rumtek,Sikkim,East,SK
Upper Tadong,Sikkim,East,SK
Arithang,Sikkim,East,SK
Gangtok,Sikkim,East,SK
Upper Burtuk,Sikkim,East,SK
Kabi Lungchuk,Sikkim,North,SK
Djongu,Sikkim,North,SK
Lachen Mangan,Sikkim,North,SK
Sangha,Sikkim,North,SK
