AC,PC,District,Code
Gummidipoondi,Thiruvallur,Thiruvallur,TN
Ponneri,Thiruvallur,Thiruvallur,TN
Tiruttani,Arakkonam,Thiruvallur,TN
Thiruvallur,Thiruvallur,Thiruvallur,TN
Poonamallee,Thiruvallur,Thiruvallur,TN
Avadi,Thiruvallur,Thiruvallur,TN
Maduravoyal,Sriperumbudur,Thiruvallur,TN
Ambattur,Sriperumbudur,Thiruvallur,TN
Madavaram,Thiruvallur,Thiruvallur,TN
Thiruvottiyur,Chennai North,Thiruvallur,TN
Dr.Radhakrishnan Nagar,Chennai North,Chennai,TN
Perambur,Chennai North,Chennai,TN
Kolathur,Chennai North,Chennai,TN
Villivakkam,Chennai Central,Chennai,TN
Thiru-Vi-Ka-Nagar,Chennai North,Chennai,TN
Egmore,Chennai Central,Chennai,TN
Royapuram,Chennai North,Chennai,TN
Harbour,Chennai Central,Chennai,TN
Chepauk-Thiruvallikeni,Chennai Central,Chennai,TN
Thousand Lights,Chennai Central,Chennai,TN
Anna Nagar,Chennai Central,Chennai,TN
Virugampakkam,Chennai South,Chennai,TN
Saidapet,Chennai South,Chennai,TN
Thiyagarayanagar,Chennai South,Chennai,TN
Mylapore,Chennai South,Chennai,TN
Velachery,Chennai South,Chennai,TN
Shozhinganallur,Chennai South,Kancheepuram,TN
Alandur,Sriperumbudur,Kancheepuram,TN
Sriperumbudur,Sriperumbudur,Kancheepuram,TN
Pallavaram,Sriperumbudur,Kancheepuram,TN
Tambaram,Sriperumbudur,Kancheepuram,TN
Chengalpattu,Kancheepuram,Kancheepuram,TN
Thiruporur,Kancheepuram,Kancheepuram,TN
Cheyyur,Kancheepuram,Kancheepuram,TN
Madurantakam,Kancheepuram,Kancheepuram,TN
Uthiramerur,Kancheepuram,Kancheepuram,TN
Kancheepuram,Kancheepuram,Kancheepuram,TN
Arakkonam,Arakkonam,Vellore,TN
Sholinghur,Arakkonam,Vellore,TN
Katpadi,Arakkonam,Vellore,TN
Ranipet,Arakkonam,Vellore,TN
Arcot,Arakkonam,Vellore,TN
Vellore,Vellore,Vellore,TN
Anaikattu,Vellore,Vellore,TN
Kilvaithinankuppam,Vellore,Vellore,TN
Gudiyattam,Vellore,Vellore,TN
Vaniyambadi,Vellore,Vellore,TN
Ambur,Vellore,Vellore,TN
Jolarpet,Tiruvannamalai,Vellore,TN
Tirupattur,Tiruvannamalai,Vellore,TN
Uthangarai,Krishnagiri,Krishnagiri,TN
Bargur,Krishnagiri,Krishnagiri,TN
Krishnagiri,Krishnagiri,Krishnagiri,TN
Veppanahalli,Krishnagiri,Krishnagiri,TN
Hosur,Krishnagiri,Krishnagiri,TN
Thalli,Krishnagiri,Krishnagiri,TN
Palacode,Dharmapuri,Dharmapuri,TN
Pennagaram,Dharmapuri,Dharmapuri,TN
Dharmapuri,Dharmapuri,Dharmapuri,TN
Pappireddipatti,Dharmapuri,Dharmapuri,TN
Harur,Dharmapuri,Dharmapuri,TN
Chengam,Tiruvannamalai,Tiruvannamalai,TN
Tiruvannamalai,Tiruvannamalai,Tiruvannamalai,TN
Kilpennathur,Tiruvannamalai,Tiruvannamalai,TN
Kalasapakkam,Tiruvannamalai,Tiruvannamalai,TN
Polur,Arani,Tiruvannamalai,TN
Arani,Arani,Tiruvannamalai,TN
Cheyyar,Arani,Tiruvannamalai,TN
Vandavasi,Arani,Tiruvannamalai,TN
Gingee,Arani,Viluppuram,TN
Mailam,Arani,Viluppuram,TN
Tindivanam,Viluppuram,Viluppuram,TN
Vanur,Viluppuram,Viluppuram,TN
Villupuram,Viluppuram,Viluppuram,TN
Vikravandi,Viluppuram,Viluppuram,TN
Tirukkoyilur,Viluppuram,Viluppuram,TN
Ulundurpettai,Viluppuram,Viluppuram,TN
Rishivandiyam,Kallakurichi,Viluppuram,TN
Sankarapuram,Kallakurichi,Viluppuram,TN
Kallakurichi,Kallakurichi,Viluppuram,TN
Gangavalli,Kallakurichi,Salem,TN
Attur,Kallakurichi,Salem,TN
Yercaud,Kallakurichi,Salem,TN
Omalur,Salem,Salem,TN
Mettur,Dharmapuri,Salem,TN
Edappadi,Salem,Salem,TN
Sankari,Namakkal,Salem,TN
Salem (West),Salem,Salem,TN
Salem (North),Salem,Salem,TN
Salem (South),Salem,Salem,TN
Veerapandi,Salem,Salem,TN
Rasipuram,Namakkal,Namakkal,TN
Senthamangalam,Namakkal,Namakkal,TN
Namakkal,Namakkal,Namakkal,TN
Paramathi-Velur,Namakkal,Namakkal,TN
Tiruchengodu,Namakkal,Namakkal,TN
Kumarapalayam,Erode,Namakkal,TN
Erode (East),Erode,Erode,TN
Erode (West),Erode,Erode,TN
Modakkurichi,Erode,Erode,TN
Dharapuram,Erode,Erode,TN
Kangayam,Erode,Erode,TN
Perundurai,Tiruppur,Erode,TN
Bhavani,Tiruppur,Erode,TN
Anthiyur,Tiruppur,Erode,TN
Gobichettipalayam,Tiruppur,Erode,TN
Bhavanisagar,Nilgiris,Erode,TN
Udhagamandalam,Nilgiris,The Nilgiris,TN
Gudalur,Nilgiris,The Nilgiris,TN
Coonoor,Nilgiris,The Nilgiris,TN
Mettuppalayam,Nilgiris,Coimbatore,TN
Avanashi,Nilgiris,Coimbatore,TN
Tiruppur (North),Tiruppur,Coimbatore,TN
Tiruppur (South),Tiruppur,Coimbatore,TN
Palladam,Coimbatore,Coimbatore,TN
Sulur,Coimbatore,Coimbatore,TN
Kavundampalayam,Coimbatore,Coimbatore,TN
Coimbatore (North),Coimbatore,Coimbatore,TN
Thondamuthur,Pollachi,Coimbatore,TN
Coimbatore (South),Coimbatore,Coimbatore,TN
Singanallur,Coimbatore,Coimbatore,TN
Kinathukadavu,Pollachi,Coimbatore,TN
Pollachi,Pollachi,Coimbatore,TN
Valparai,Pollachi,Coimbatore,TN
Udumalaipettai,Pollachi,Coimbatore,TN
Madathukulam,Pollachi,Coimbatore,TN
Palani,Dindigul,Dindigul,TN
Oddanchatram,Dindigul,Dindigul,TN
Athoor,Dindigul,Dindigul,TN
Nilakkottai,Dindigul,Dindigul,TN
Natham,Dindigul,Dindigul,TN
Dindigul,Dindigul,Dindigul,TN
Vedasandur,Karur,Dindigul,TN
Karur,Karur,Karur,TN
Krishnarayapuram,Karur,Karur,TN
Kulithalai,Perambalur,Tiruchirappalli,TN
Manapparai,Karur,Tiruchirappalli,TN
Srirangam,Tiruchirappalli,Tiruchirappalli,TN
Tiruchirappalli (West),Tiruchirappalli,Tiruchirappalli,TN
Tiruchirappalli (East),Tiruchirappalli,Tiruchirappalli,TN
Thiruverumbur,Tiruchirappalli,Tiruchirappalli,TN
Lalgudi,Perambalur,Tiruchirappalli,TN
Manachanallur,Perambalur,Tiruchirappalli,TN
Musiri,Perambalur,Tiruchirappalli,TN
Thuraiyur,Perambalur,Tiruchirappalli,TN
Perambalur,Perambalur,Perambalur,TN
Kunnam,Chidambaram,Perambalur,TN
Ariyalur,Chidambaram,Perambalur,TN
Jayankondam,Chidambaram,Perambalur,TN
Tittakudi,Cuddalore,Cuddalore,TN
Vriddhachalam,Cuddalore,Cuddalore,TN
Neyveli,Cuddalore,Cuddalore,TN
Panruti,Cuddalore,Cuddalore,TN
Cuddalore,Cuddalore,Cuddalore,TN
Kurinjipadi,Cuddalore,Cuddalore,TN
Bhuvanagiri,Chidambaram,Cuddalore,TN
Chidambaram,Chidambaram,Cuddalore,TN
Kattumannarkoil,Chidambaram,Cuddalore,TN
Sirkazhi,Mayiladuthurai,Nagapattinam,TN
Mayiladuthurai,Mayiladuthurai,Nagapattinam,TN
Poompuhar,Mayiladuthurai,Nagapattinam,TN
Nagapattinam,Nagapattinam,Nagapattinam,TN
Kilvelur,Nagapattinam,Nagapattinam,TN
Vedaranyam,Nagapattinam,Nagapattinam,TN
Thiruthuraipoondi,Nagapattinam,Thiruvarur,TN
Mannargudi,Thanjavur,Thiruvarur,TN
Thiruvarur,Nagapattinam,Thiruvarur,TN
Nannilam,Nagapattinam,Thiruvarur,TN
Thiruvidaimarudur,Mayiladuthurai,Thanjavur,TN
Kumbakonam,Mayiladuthurai,Thanjavur,TN
Papanasam,Mayiladuthurai,Thanjavur,TN
Thiruvaiyaru,Thanjavur,Thanjavur,TN
Orathanadu,Thanjavur,Thanjavur,TN
Pattukkottai,Thanjavur,Thanjavur,TN
Peravurani,Thanjavur,Thanjavur,TN
Gandarvakkottai,Tiruchirappalli,Pudukkottai,TN
Viralimalai,Karur,Pudukkottai,TN
Pudukkottai,Tiruchirappalli,Pudukkottai,TN
Thirumayam,Sivaganga,Pudukkottai,TN
Alangudi,Sivaganga,Pudukkottai,TN
Aranthangi,Ramanathapuram,Pudukkottai,TN
Karaikudi,Sivaganga,Sivaganga,TN
Tiruppattur,Sivaganga,Sivaganga,TN
Sivaganga,Sivaganga,Sivaganga,TN
Manamadurai,Sivaganga,Sivaganga,TN
Melur,Madurai,Madurai,TN
Madurai East,Madurai,Madurai,TN
Sholavandan,Theni,Madurai,TN
Madurai North,Madurai,Madurai,TN
Madurai South,Madurai,Madurai,TN
Madurai Central,Madurai,Madurai,TN
Madurai West,Madurai,Madurai,TN
Thiruparankundram,Virudhunagar,Madurai,TN
Thirumangalam,Virudhunagar,Madurai,TN
Usilampatti,Theni,Madurai,TN
Andipatti,Theni,Theni,TN
Periyakulam,Theni,Theni,TN
Bodinayakanur,Theni,Theni,TN
Cumbum,Theni,Theni,TN
Rajapalayam,Tenkasi,Virudhunagar,TN
Srivilliputhur,Tenkasi,Virudhunagar,TN
Sattur,Virudhunagar,Virudhunagar,TN
Sivakasi,Virudhunagar,Virudhunagar,TN
Virudhunagar,Virudhunagar,Virudhunagar,TN
Aruppukkottai,Virudhunagar,Virudhunagar,TN
Tiruchuli,Ramanathapuram,Virudhunagar,TN
Paramakudi,Ramanathapuram,Ramanathapuram,TN
Tiruvadanai,Ramanathapuram,Ramanathapuram,TN
Ramanathapuram,Ramanathapuram,Ramanathapuram,TN
Mudhukulathur,Ramanathapuram,Ramanathapuram,TN
Vilathikulam,Thoothukkudi,Thoothukkudi,TN
Thoothukkudi,Thoothukkudi,Thoothukkudi,TN
Tiruchendur,Thoothukkudi,Thoothukkudi,TN
Srivaikuntam,Thoothukkudi,Thoothukkudi,TN
Ottapidaram,Thoothukkudi,Thoothukkudi,TN
Kovilpatti,Thoothukkudi,Thoothukkudi,TN
Sankarankovil,Tenkasi,Tirunelveli,TN
Vasudevanallur,Tenkasi,Tirunelveli,TN
Kadayanallur,Tenkasi,Tirunelveli,TN
Tenkasi,Tenkasi,Tirunelveli,TN
Alangulam,Tirunelveli,Tirunelveli,TN
Tirunelveli,Tirunelveli,Tirunelveli,TN
Ambasamudram,Tirunelveli,Tirunelveli,TN
Palayamkottai,Tirunelveli,Tirunelveli,TN
