AC,PC,District,Code
Sirpur,Adilabad,Adilabad,TS
Chennur,Peddapalli,Adilabad,TS
Bellampalli,Peddapalli,Adilabad,TS
Mancherial,Peddapalli,Adilabad,TS
Asifabad,Adilabad,Adilabad,TS
Khanapur,Adilabad,Adilabad,TS
Adilabad,Adilabad,Adilabad,TS
Boath,Adilabad,Adilabad,TS
Nirmal,Adilabad,Adilabad,TS
Mudhole,Adilabad,Adilabad,TS
Armur,Nizamabad,Nizamabad,TS
Bodhan,Nizamabad,Nizamabad,TS
Jukkal,Zahirabad,Nizamabad,TS
Banswada,Zahirabad,Nizamabad,TS
Yellareddy,Zahirabad,Nizamabad,TS
Kamareddy,Zahirabad,Nizamabad,TS
Nizamabad (Urban),Nizamabad,Nizamabad,TS
Nizamabad (Rural),Nizamabad,Nizamabad,TS
Balkonda,Nizamabad,Nizamabad,TS
Koratla,Nizamabad,Karimnagar,TS
Jagtial,Nizamabad,Karimnagar,TS
Dharmapuri,Peddapalli,Karimnagar,TS
Ramagundam,Peddapalli,Karimnagar,TS
Manthani,Peddapalli,Karimnagar,TS
Peddapalle,Peddapalli,Karimnagar,TS
Karimnagar,Karimnagar,Karimnagar,TS
Choppadandi,Karimnagar,Karimnagar,TS
Vemulawada,Karimnagar,Karimnagar,TS
Sircilla,Karimnagar,Karimnagar,TS
Manakondur,Karimnagar,Karimnagar,TS
Huzurabad,Karimnagar,Karimnagar,TS
Husnabad,Karimnagar,Karimnagar,TS
Siddipet,Medak,Medak,TS
Medak,Medak,Medak,TS
Narayankhed,Zahirabad,Medak,TS
Andole,Zahirabad,Medak,TS
Narsapur,Medak,Medak,TS
Zahirabad,Zahirabad,Medak,TS
Sangareddy,Medak,Medak,TS
Patancheru,Medak,Medak,TS
Dubbak,Medak,Medak,TS
Gajwel,Medak,Medak,TS
Medchal,Malkajgiri,Rangareddi,TS
Malkajgiri,Malkajgiri,Rangareddi,TS
Quthbullapur,Malkajgiri,Rangareddi,TS
Kukatpally,Malkajgiri,Rangareddi,TS
Uppal,Malkajgiri,Rangareddi,TS
Ibrahimpatnam,Bhongir,Rangareddi,TS
Lal Bahadur Nagar,Malkajgiri,Rangareddi,TS
Maheshwaram,Chelvella,Rangareddi,TS
Rajendranagar,Chelvella,Rangareddi,TS
Serilingampally,Chelvella,Rangareddi,TS
Chevella,Chelvella,Rangareddi,TS
Pargi,Chelvella,Rangareddi,TS
Vikarabad,Chelvella,Rangareddi,TS
Tandur,Chelvella,Rangareddi,TS
Musheerabad,Secundrabad,Hyderabad,TS
Malakpet,Hyderabad,Hyderabad,TS
Amberpet,Secundrabad,Hyderabad,TS
Khairatabad,Secundrabad,Hyderabad,TS
Jubilee Hills,Secundrabad,Hyderabad,TS
Sanath Nagar,Secundrabad,Hyderabad,TS
Nampalli,Secundrabad,Hyderabad,TS
Karwan,Hyderabad,Hyderabad,TS
Goshamahal,Hyderabad,Hyderabad,TS
Charminar,Hyderabad,Hyderabad,TS
Chandrayangutta,Hyderabad,Hyderabad,TS
Yakutpura,Hyderabad,Hyderabad,TS
Bahadurpura,Hyderabad,Hyderabad,TS
Secunderabad,Secundrabad,Hyderabad,TS
Secunderabad Cantt.,Malkajgiri,Hyderabad,TS
Kodangal,Mahbubnagar,Mahbubnagar,TS
Narayanpet,Mahbubnagar,Mahbubnagar,TS
Mahbubnagar,Mahbubnagar,Mahbubnagar,TS
Jadcherla,Mahbubnagar,Mahbubnagar,TS
Devarkadra,Mahbubnagar,Mahbubnagar,TS
Makthal,Mahbubnagar,Mahbubnagar,TS
Wanaparthy,Nagarkurnool,Mahbubnagar,TS
Gadwal,Nagarkurnool,Mahbubnagar,TS
Alampur,Nagarkurnool,Mahbubnagar,TS
Nagarkurnool,Nagarkurnool,Mahbubnagar,TS
Achampet,Nagarkurnool,Mahbubnagar,TS
Kalwakurthy,Nagarkurnool,Mahbubnagar,TS
Shadnagar,Mahbubnagar,Mahbubnagar,TS
Kollapur,Nagarkurnool,Mahbubnagar,TS
Devarakonda,Nalgonda,Nalgonda,TS
Nagarjuna Sagar,Nalgonda,Nalgonda,TS
Miryalguda,Nalgonda,Nalgonda,TS
Huzurnagar,Nalgonda,Nalgonda,TS
Kodad,Nalgonda,Nalgonda,TS
Suryapet,Nalgonda,Nalgonda,TS
Nalgonda,Nalgonda,Nalgonda,TS
Munugode,Bhongir,Nalgonda,TS
Bhongir,Bhongir,Nalgonda,TS
Nakrekal,Bhongir,Nalgonda,TS
Thungathurthy,Bhongir,Nalgonda,TS
Alair,Bhongir,Nalgonda,TS
Jangoan,Bhongir,Warangal,TS
Ghanpur (Station),Warangal,Warangal,TS
Palakurthi,Warangal,Warangal,TS
Dornakal,Mahabubabad,Warangal,TS
Mahabubabad,Mahabubabad,Warangal,TS
Narsampet,Mahabubabad,Warangal,TS
Parkal,Warangal,Warangal,TS
Warangal West,Warangal,Warangal,TS
Warangal East,Warangal,Warangal,TS
Wardhanapet,Warangal,Warangal,TS
Bhupalpalle,Warangal,Warangal,TS
Mulug,Mahabubabad,Warangal,TS
Pinapaka,Mahabubabad,Khammam,TS
Yellandu,Mahabubabad,Khammam,TS
Khammam,Khammam,Khammam,TS
Palair,Khammam,Khammam,TS
Madhira,Khammam,Khammam,TS
Wyra,Khammam,Khammam,TS
Sathupalli,Khammam,Khammam,TS
Kothagudem,Khammam,Khammam,TS
Aswaraopeta,Khammam,Khammam,TS
Bhadrachalam,Mahabubabad,Khammam,TS
