AC,PC,District,Code
Simna,Tripura West,West Tripura,TR
Mohanpur,Tripura West,West Tripura,TR
Bamutia,Tripura West,West Tripura,TR
Barjala,Tripura West,West Tripura,TR
Khayerpur,Tripura West,West Tripura,TR
Agartala,Tripura West,West Tripura,TR
Ramnagar,Tripura West,West Tripura,TR
Town Bordowali,Tripura West,West Tripura,TR
Banamalipur,Tripura West,West Tripura,TR
Majlishpur,Tripura West,West Tripura,TR
Mandaibazar,Tripura West,West Tripura,TR
Takarjala,Tripura West,West Tripura,TR
Pratapgarh,Tripura West,West Tripura,TR
Badharghat,Tripura West,West Tripura,TR
Kamalasagar,Tripura West,West Tripura,TR
Bishalgarh,Tripura West,West Tripura,TR
Golaghati,Tripura West,West Tripura,TR
Suryamani Nagar,Tripura West,West Tripura,TR
Charilam,Tripura West,West Tripura,TR
Boxanagar,Tripura West,West Tripura,TR
Nalchar,Tripura West,West Tripura,TR
Sonamura,Tripura West,West Tripura,TR
Dhanpur,Tripura West,West Tripura,TR
Ramchandraghat,Tripura East,West Tripura,TR
Khowai,Tripura East,West Tripura,TR
Asharambari,Tripura East,West Tripura,TR
Kalyanpur-Promodenagar,Tripura East,West Tripura,TR
Teliamura,Tripura East,West Tripura,TR
Krishnapur,Tripura East,West Tripura,TR
Bagma,Tripura West,South Tripura,TR
Radhakishorepur,Tripura West,South Tripura,TR
Matarbari,Tripura West,South Tripura,TR
Kakraban-Salgarah,Tripura West,South Tripura,TR
Rajnagar,Tripura West,South Tripura,TR
Belonia,Tripura West,South Tripura,TR
Shantirbazar,Tripura West,South Tripura,TR
Hrishyamukh,Tripura East,South Tripura,TR
Jolaibari,Tripura East,South Tripura,TR
Manu,Tripura East,South Tripura,TR
Sabroom,Tripura East,South Tripura,TR
Ampinagar,Tripura East,South Tripura,TR
Amarpur,Tripura East,South Tripura,TR
Karbook,Tripura East,South Tripura,TR
Raima Valley,Tripura East,Dhalai,TR
Kamalpur,Tripura East,Dhalai,TR
Surma,Tripura East,Dhalai,TR
Ambassa,Tripura East,Dhalai,TR
Karamchhara,Tripura East,Dhalai,TR
Chawmanu,Tripura East,Dhalai,TR
Pabiachara,Tripura East,North Tripura,TR
Fatikroy,Tripura East,North Tripura,TR
Chandipur,Tripura East,North Tripura,TR
Kailasahar,Tripura East,North Tripura,TR
Kadamtala-Kurti,Tripura East,North Tripura,TR
Bagbassa,Tripura East,North Tripura,TR
Dharmanagar,Tripura East,North Tripura,TR
Jubarajnagar,Tripura East,North Tripura,TR
Panisagar,Tripura East,North Tripura,TR
Pencharthal,Tripura East,North Tripura,TR
Kanchanpur,Tripura East,North Tripura,TR
