AC,PC,District,Code
Purola,Tehri Garhwal,Uttarkashi,UK
Yamunotri,Tehri Garhwal,Uttarkashi,UK
Gangotri,Tehri Garhwal,Uttarkashi,UK
Badrinath,Garhwal,Chamoli,UK
Tharali,Garhwal,Chamoli,UK
Karanprayag,Garhwal,Chamoli,UK
Kedarnath,Garhwal,Rudraprayag,UK
Rudraprayag,Garhwal,Rudraprayag,UK
Ghansali,Tehri Garhwal,Tehri Garhwal,UK
Devprayag,Garhwal,Tehri Garhwal,UK
Narendranagar,Garhwal,Tehri Garhwal,UK
Pratapnagar,Tehri Garhwal,Tehri Garhwal,UK
Tehri,Tehri Garhwal,Tehri Garhwal,UK
Dhanolti,Tehri Garhwal,Tehri Garhwal,UK
Chakrata,Tehri Garhwal,Dehradun,UK
Vikasnagar,Tehri Garhwal,Dehradun,UK
Sahaspur,Tehri Garhwal,Dehradun,UK
Dharmpur,Hardwar,Dehradun,UK
Raipur,Tehri Garhwal,Dehradun,UK
Rajpur Road,Tehri Garhwal,Dehradun,UK
Dehradun Cantonment,Tehri Garhwal,Dehradun,UK
Mussoorie,Tehri Garhwal,Dehradun,UK
Doiwala,Hardwar,Dehradun,UK
Rishikesh,Hardwar,Dehradun,UK
Haridwar,Hardwar,Hardwar,UK
Bhel Ranipur,Hardwar,Hardwar,UK
Jwalapur,Hardwar,Hardwar,UK
Bhagwanpur,Hardwar,Hardwar,UK
Jhabrera,Hardwar,Hardwar,UK
Piran Kaliyar,Hardwar,Hardwar,UK
Roorkee,Hardwar,Hardwar,UK
Khanpur,Hardwar,Hardwar,UK
Manglore,Hardwar,Hardwar,UK
Laksar,Hardwar,Hardwar,UK
Haridwar Rural,Hardwar,Hardwar,UK
Yamkeshwar,Garhwal,Garhwal,UK
Pauri,Garhwal,Garhwal,UK
Srinagar,Garhwal,Garhwal,UK
Chaubattakhal,Garhwal,Garhwal,UK
Lansdowne,Garhwal,Garhwal,UK
Kotdwar,Garhwal,Garhwal,UK
Dharchula,Almora,Pithoragarh,UK
Didihat,Almora,Pithoragarh,UK
Pithoragarh,Almora,Pithoragarh,UK
Gangolihat,Almora,Pithoragarh,UK
Kapkot,Almora,Bageshwar,UK
Bageshwar,Almora,Bageshwar,UK
Dwarahat,Almora,Almora,UK
Salt,Almora,Almora,UK
Ranikhet,Almora,Almora,UK
Someshwar,Almora,Almora,UK
Almora,Almora,Almora,UK
Jageshwar,Almora,Almora,UK
Lohaghat,Almora,Champawat,UK
Champawat,Almora,Champawat,UK
Lalkuan,Nainital-Udhamsingh Nagar,Nainital,UK
Bhimtal,Nainital-Udhamsingh Nagar,Nainital,UK
Nainital,Nainital-Udhamsingh Nagar,Nainital,UK
Haldwani,Nainital-Udhamsingh Nagar,Nainital,UK
Kaladhungi,Nainital-Udhamsingh Nagar,Nainital,UK
Ramnagar,Garhwal,Nainital,UK
Jaspur,Nainital-Udhamsingh Nagar,Udham Singh Nagar,UK
Kashipur,Nainital-Udhamsingh Nagar,Udham Singh Nagar,UK
Bajpur,Nainital-Udhamsingh Nagar,Udham Singh Nagar,UK
Gadarpur,Nainital-Udhamsingh Nagar,Udham Singh Nagar,UK
Rudrapur,Nainital-Udhamsingh Nagar,Udham Singh Nagar,UK
Kichha,Nainital-Udhamsingh Nagar,Udham Singh Nagar,UK
Sitarganj,Nainital-Udhamsingh Nagar,Udham Singh Nagar,UK
Nanakmatta,Nainital-Udhamsingh Nagar,Udham Singh Nagar,UK
Khatima,Nainital-Udhamsingh Nagar,Udham Singh Nagar,UK
