AC,PC,District,Code
Mekliganj,Jalpaiguri,Koch Bihar,WB
Mathabhanga,Cooch Behar,Koch Bihar,WB
Coochbehar Uttar,Cooch Behar,Koch Bihar,WB
Coochbehar Dakshin,Cooch Behar,Koch Bihar,WB
Sitalkuchi,Cooch Behar,Koch Bihar,WB
Sitai,Cooch Behar,Koch Bihar,WB
Dinhata,Cooch Behar,Koch Bihar,WB
Natabari,Cooch Behar,Koch Bihar,WB
Tufanganj,Alipurduars,Koch Bihar,WB
Kumargram,Alipurduars,Jalpaiguri,WB
Kalchini,Alipurduars,Jalpaiguri,WB
Alipurduars,Alipurduars,Jalpaiguri,WB
Falakata,Alipurduars,Jalpaiguri,WB
Madarihat,Alipurduars,Jalpaiguri,WB
Dhupguri,Jalpaiguri,Jalpaiguri,WB
Maynaguri,Jalpaiguri,Jalpaiguri,WB
Jalpaiguri,Jalpaiguri,Jalpaiguri,WB
Rajganj,Jalpaiguri,Jalpaiguri,WB
Dabgram-Phulbari,Jalpaiguri,Jalpaiguri,WB
Mal,Jalpaiguri,Jalpaiguri,WB
Nagrakata,Alipurduars,Jalpaiguri,WB
Kalimpong,Darjeeling,Darjiling,WB
Darjeeling,Darjeeling,Darjiling,WB
Kurseong,Darjeeling,Darjiling,WB
Matigara-Naxalbari ,Darjeeling,Darjiling,WB
Siliguri,Darjeeling,Darjiling,WB
Phansidewa ,Darjeeling,Darjiling,WB
Chopra,Darjeeling,Uttar Dinajpur,WB
Islampur,Raiganj,Uttar Dinajpur,WB
Goalpokhar,Raiganj,Uttar Dinajpur,WB
Chakulia,Raiganj,Uttar Dinajpur,WB
Karandighi,Raiganj,Uttar Dinajpur,WB
Hemtabad ,Raiganj,Uttar Dinajpur,WB
Kaliaganj ,Raiganj,Uttar Dinajpur,WB
Raiganj,Raiganj,Uttar Dinajpur,WB
Itahar,Balurghat,Uttar Dinajpur,WB
Kushmundi ,Balurghat,Dakshin Dinajpur,WB
Kumarganj,Balurghat,Dakshin Dinajpur,WB
Balurghat,Balurghat,Dakshin Dinajpur,WB
Tapan ,Balurghat,Dakshin Dinajpur,WB
Gangarampur ,Balurghat,Dakshin Dinajpur,WB
Harirampur,Balurghat,Dakshin Dinajpur,WB
Habibpur ,Maldaha Uttar,Maldah,WB
Gazole ,Maldaha Uttar,Maldah,WB
Chanchal,Maldaha Uttar,Maldah,WB
Harischandra-Pur,Maldaha Uttar,Maldah,WB
Malatipur,Maldaha Uttar,Maldah,WB
Ratua,Maldaha Uttar,Maldah,WB
Manickchak,Maldaha Dakshin,Maldah,WB
Maldaha ,Maldaha Uttar,Maldah,WB
English Bazar,Maldaha Dakshin,Maldah,WB
Mothabari,Maldaha Dakshin,Maldah,WB
Sujapur,Maldaha Dakshin,Maldah,WB
