resource_type,resource_name,resource_url
user,Aadila,https://www.strongspace.com/shared/i0zg55bicx
user,Anish,https://www.strongspace.com/shared/7obfwjs8xp
user,Aravind,https://www.strongspace.com/shared/kd0w2wp7qc
user,Arya,https://www.strongspace.com/shared/yozy3l282f
user,Ashif,https://www.strongspace.com/shared/qsoq2ggvl2
user,Balakrishna,https://www.strongspace.com/shared/anzf83ylwe
user,Bogayya,https://www.strongspace.com/shared/vf4ou7npxj
user,Dabashis,https://www.strongspace.com/shared/gnmdr6df87
user,Gayatri,https://www.strongspace.com/shared/4jnqanc1j1
user,Jyoyetri,https://www.strongspace.com/shared/v8dt6rywf6
user,Kiran,https://www.strongspace.com/shared/en2j5974a1
user,Lama,https://www.strongspace.com/shared/7qo4acpkea
user,Lily,https://www.strongspace.com/shared/a68in6qkvr
user,Murkhan,https://www.strongspace.com/shared/y11av4g314
user,Nikil,https://www.strongspace.com/shared/yrwumbjwol
user,Pawan,https://www.strongspace.com/shared/gsp34804ur
user,Raju,https://www.strongspace.com/shared/k839xyqcts
user,Rimat,https://www.strongspace.com/shared/68ynwowk5n
user,Rohan,https://www.strongspace.com/shared/ypdxtmycgd
user,Urja,https://www.strongspace.com/shared/dw8396fyfb
user,User 1,https://www.strongspace.com/shared/gr902v7km6
user,User 2,https://www.strongspace.com/shared/id8cf0fhoz
user,User 3,https://www.strongspace.com/shared/9qn8sfa51d
user,User 4,https://www.strongspace.com/shared/1sa6af44vf
user,User 5,https://www.strongspace.com/shared/c562v3gkoi
user,User 6,https://www.strongspace.com/shared/e029vl5gs7
user,User 7,https://www.strongspace.com/shared/2ada2afgp0
user,User 8,https://www.strongspace.com/shared/klj7dpmpkq
user,User 9,https://www.strongspace.com/shared/l0307javee
user,User 10,https://www.strongspace.com/shared/iz56ddgn0p
user,User 11,https://www.strongspace.com/shared/9gd84p8ub9
user,User 12,https://www.strongspace.com/shared/kf317v90of
user,User 13,https://www.strongspace.com/shared/49d14mihqx
user,User 14,https://www.strongspace.com/shared/vbny1ish5e
user,User 15,https://www.strongspace.com/shared/nos6t9flvq
user,User 16,https://www.strongspace.com/shared/qwqa2v02hl
user,User 17,https://www.strongspace.com/shared/mt4vdxbcye
user,User 18,https://www.strongspace.com/shared/0jtzi43ye3
user,User 19,https://www.strongspace.com/shared/x1hi7p5xyf
user,User 20,https://www.strongspace.com/shared/03seya1py6
user,User 21,https://www.strongspace.com/shared/ikwb2iwo4i
user,User 22,https://www.strongspace.com/shared/ack5h025s8
user,User 23,https://www.strongspace.com/shared/wxcbyd1ir2
user,User 24,https://www.strongspace.com/shared/zgtdqd8ud9
user,User 25,https://www.strongspace.com/shared/k1er9kkaqi
user,User 26,https://www.strongspace.com/shared/ztm7ccmpps
user,User 27,https://www.strongspace.com/shared/s6ieis6ch9
user,User 28,https://www.strongspace.com/shared/srjf3msuz5
user,User 29,https://www.strongspace.com/shared/vj3mm4pckb
user,User 30,https://www.strongspace.com/shared/kzytedcr95
leader,Amith Shah,https://www.strongspace.com/shared/i2oodo6ity
leader,Arvind Kejriwal,https://www.strongspace.com/shared/jjei36e78j
leader,Asaduddin Owaisi,https://www.strongspace.com/shared/2eb699c1z7
leader,C. F. Thomas,https://www.strongspace.com/shared/9tja8o2rmv
leader,K. Chandrashekhar Rao,https://www.strongspace.com/shared/z87y44ntdj
leader,Kamal Nath,https://www.strongspace.com/shared/qqgnmnp6na
leader,Mamata Banerjee,https://www.strongspace.com/shared/rlm6ihwyfy
leader,Mayawati,https://www.strongspace.com/shared/4jbhv3zw6k
leader,Nara Chandrababu Naidu,https://www.strongspace.com/shared/3u4za4sutj
leader,Narendra Modi,https://www.strongspace.com/shared/zsxsyl5bws
leader,Naveen Patnaik,https://www.strongspace.com/shared/f90sencwmr
leader,Navjot Singh Sidhu,https://www.strongspace.com/shared/qb3lwalqcj
leader,P Chidambaram,https://www.strongspace.com/shared/t2gokoumiy
leader,Pawan Kumar Chamling,https://www.strongspace.com/shared/o3ve9xmv9p
leader,Prakash,https://www.strongspace.com/shared/0z3vfk94aq
leader,Prem Singh Tamang,https://www.strongspace.com/shared/5rrsmelnij
leader,Rahul Gandhi,https://www.strongspace.com/shared/yctkp1wloj
leader,Subramanian Swamy,https://www.strongspace.com/shared/rdoj6inbt9
leader,Vijayakanth,https://www.strongspace.com/shared/3sk8udkloo
leader,Y. S. Jaganmohan Reddy,https://www.strongspace.com/shared/7kle5hk8xg
issues,Issues 1,https://www.strongspace.com/shared/u1sknlmgce
issues,Issues 2,https://www.strongspace.com/shared/9kcluzqwqd
issues,Issues 3,https://www.strongspace.com/shared/u3xt7y0a38
issues,Issues 4,https://www.strongspace.com/shared/pehv5s9cbr
issues,Issues 5,https://www.strongspace.com/shared/l042pjjt44
issues,Issues 6,https://www.strongspace.com/shared/ruf0twk9fu
issues,Issues 7,https://www.strongspace.com/shared/0e9bby0056
issues,Issues 8,https://www.strongspace.com/shared/qbfwkshob7
issues,Issues 9,https://www.strongspace.com/shared/ocamv49r8r
issues,Issues 10,https://www.strongspace.com/shared/qqm6tdwx23
issues,Issues 11,https://www.strongspace.com/shared/otibm3d2yj
issues,Issues 12,https://www.strongspace.com/shared/xnhl9j482r
issues,Issues 13,https://www.strongspace.com/shared/464bvgkkis
issues,Issues 14,https://www.strongspace.com/shared/0q85ldpsaa
issues,Issues 15,https://www.strongspace.com/shared/23vq3p5lgy
issues,Issues 16,https://www.strongspace.com/shared/rhfltzkbeq
issues,Issues 17,https://www.strongspace.com/shared/fk79e1fxgc
issues,Issues 18,https://www.strongspace.com/shared/qhzwz72fvw
issues,Issues 19,https://www.strongspace.com/shared/bwm65h1qoj
issues,Issues 20,https://www.strongspace.com/shared/zm13t183us
